rank,player,tier,vts,birkdale_tag,birkdale_events,birkdale_sg_rnd,vhn,ch_2008,ch_2017,best_finish,vhn_note
38,Nick Taylor,3,63.19,RoyalBirkdaleDebut,0,,50.24,null,null,,VenueHistory 50.2/100 — No Birkdale starts. Open debut — no course-specific cali
39,Maverick McNealy,3,63.13,BirkdaleHistoryThin,1,-2.978,35.12,null,CUT,,VenueHistory 35.1/100 — 1 Birkdale event(s): null in 2008 / CUT in 2017 (thin sa
40,Keith Mitchell,3,63.02,RoyalBirkdaleDebut,0,,49.55,null,null,,VenueHistory 49.5/100 — No Birkdale starts. Open debut — no course-specific cali
41,Tyrrell Hatton,3,62.26,BirkdaleHistoryThin,1,-2.478,36.85,null,CUT,,VenueHistory 36.9/100 — 1 Birkdale event(s): null in 2008 / CUT in 2017 (thin sa
42,Corey Conners,3,62.1,RoyalBirkdaleDebut,0,,50.09,null,null,,VenueHistory 50.1/100 — No Birkdale starts. Open debut — no course-specific cali
43,J.T. Poston,3,61.1,RoyalBirkdaleDebut,0,,50.18,null,null,,VenueHistory 50.2/100 — No Birkdale starts. Open debut — no course-specific cali
44,Tom Kim,3,60.91,RoyalBirkdaleDebut,0,,50.09,null,null,,VenueHistory 50.1/100 — No Birkdale starts. Open debut — no course-specific cali
45,Bryson DeChambeau,3,60.45,BirkdaleHistoryThin,1,-3.478,34.25,null,CUT,,VenueHistory 34.2/100 — 1 Birkdale event(s): null in 2008 / CUT in 2017 (thin sa
46,Kristoffer Reitan,3,60.01,RoyalBirkdaleDebut,0,,49.58,null,null,,VenueHistory 49.6/100 — No Birkdale starts. Open debut — no course-specific cali
47,Alex Smalley,3,59.86,RoyalBirkdaleDebut,0,,49.88,null,null,,VenueHistory 49.9/100 — No Birkdale starts. Open debut — no course-specific cali
48,Alex Fitzpatrick,3,59.54,RoyalBirkdaleDebut,0,,49.97,null,null,,VenueHistory 50.0/100 — No Birkdale starts. Open debut — no course-specific cali
49,Justin Thomas,3,59.52,BirkdaleHistoryThin,1,-0.478,42.91,null,CUT,,VenueHistory 42.9/100 — 1 Birkdale event(s): null in 2008 / CUT in 2017 (thin sa
50,Gary Woodland,3,58.7,BirkdaleHistoryThin,1,-0.198,46.38,null,T70,70,VenueHistory 46.4/100 — 1 Birkdale event(s): null in 2008 / T70 in 2017 (thin sa
51,Brian Harman,3,58.63,BirkdaleHistoryThin,1,-0.978,40.32,null,CUT,,VenueHistory 40.3/100 — 1 Birkdale event(s): null in 2008 / CUT in 2017 (thin sa
52,Bud Cauley,3,58.46,RoyalBirkdaleDebut,0,,49.97,null,null,,VenueHistory 50.0/100 — No Birkdale starts. Open debut — no course-specific cali
53,Jordan Spieth,3,58.16,BirkdaleHistoryThin,1,4.552,68.9,null,1,1,VenueHistory 68.9/100 — 1 Birkdale event(s): null in 2008 / 1 in 2017 (thin samp
54,Matt McCarty,3,57.33,RoyalBirkdaleDebut,0,,50.21,null,null,,VenueHistory 50.2/100 — No Birkdale starts. Open debut — no course-specific cali
55,Michael Thorbjornsen,3,56.85,RoyalBirkdaleDebut,0,,49.55,null,null,,VenueHistory 49.5/100 — No Birkdale starts. Open debut — no course-specific cali
56,Angel Ayora,3,56.68,RoyalBirkdaleDebut,0,,49.46,null,null,,VenueHistory 49.5/100 — No Birkdale starts. Open debut — no course-specific cali
57,Jayden Schaper,3,55.57,RoyalBirkdaleDebut,0,,50.3,null,null,,VenueHistory 50.3/100 — No Birkdale starts. Open debut — no course-specific cali
58,Daniel Berger,3,55.56,BirkdaleHistoryThin,1,1.302,56.77,null,T27,27,VenueHistory 56.8/100 — 1 Birkdale event(s): null in 2008 / T27 in 2017 (thin sa
59,Jordan Smith,3,55.25,RoyalBirkdaleDebut,0,,49.79,null,null,,VenueHistory 49.8/100 — No Birkdale starts. Open debut — no course-specific cali
60,Eric Cole,3,54.37,RoyalBirkdaleDebut,0,,50.09,null,null,,VenueHistory 50.1/100 — No Birkdale starts. Open debut — no course-specific cali
61,David Puig,3,54.37,RoyalBirkdaleDebut,0,,49.25,null,null,,VenueHistory 49.2/100 — No Birkdale starts. Open debut — no course-specific cali
62,Sepp Straka,3,54.37,RoyalBirkdaleDebut,0,,50.06,null,null,,VenueHistory 50.1/100 — No Birkdale starts. Open debut — no course-specific cali
63,Jason Day,3,54.05,BirkdaleHistoryThin,1,1.302,56.77,null,T27,27,VenueHistory 56.8/100 — 1 Birkdale event(s): null in 2008 / T27 in 2017 (thin sa
64,Harry Hall,3,54.0,RoyalBirkdaleDebut,0,,50.03,null,null,,VenueHistory 50.0/100 — No Birkdale starts. Open debut — no course-specific cali
65,Matt Wallace,3,53.63,RoyalBirkdaleDebut,0,,50.03,null,null,,VenueHistory 50.0/100 — No Birkdale starts. Open debut — no course-specific cali
66,Johnny Keefer,3,53.59,RoyalBirkdaleDebut,0,,49.49,null,null,,VenueHistory 49.5/100 — No Birkdale starts. Open debut — no course-specific cali
67,John Parry,3,52.47,RoyalBirkdaleDebut,0,,50.33,null,null,,VenueHistory 50.3/100 — No Birkdale starts. Open debut — no course-specific cali
68,Sahith Theegala,3,52.41,RoyalBirkdaleDebut,0,,49.76,null,null,,VenueHistory 49.8/100 — No Birkdale starts. Open debut — no course-specific cali
69,Nico Echavarria,3,51.64,RoyalBirkdaleDebut,0,,50.21,null,null,,VenueHistory 50.2/100 — No Birkdale starts. Open debut — no course-specific cali
70,Daniel Hillier,3,51.45,RoyalBirkdaleDebut,0,,49.64,null,null,,VenueHistory 49.6/100 — No Birkdale starts. Open debut — no course-specific cali
71,Max Homa,3,51.24,RoyalBirkdaleDebut,0,,49.82,null,null,,VenueHistory 49.8/100 — No Birkdale starts. Open debut — no course-specific cali
72,Rasmus Neergaard-Petersen,3,50.91,RoyalBirkdaleDebut,0,,49.82,null,null,,VenueHistory 49.8/100 — No Birkdale starts. Open debut — no course-specific cali
73,Victor Perez,3,50.5,RoyalBirkdaleDebut,0,,49.94,null,null,,VenueHistory 49.9/100 — No Birkdale starts. Open debut — no course-specific cali
74,Pierceson Coody,3,50.4,RoyalBirkdaleDebut,0,,49.43,null,null,,VenueHistory 49.4/100 — No Birkdale starts. Open debut — no course-specific cali
75,Thomas Detry,3,50.35,RoyalBirkdaleDebut,0,,49.73,null,null,,VenueHistory 49.7/100 — No Birkdale starts. Open debut — no course-specific cali
76,Rasmus Hojgaard,3,50.35,RoyalBirkdaleDebut,0,,49.28,null,null,,VenueHistory 49.3/100 — No Birkdale starts. Open debut — no course-specific cali
77,Sam Stevens,3,50.24,RoyalBirkdaleDebut,0,,49.67,null,null,,VenueHistory 49.7/100 — No Birkdale starts. Open debut — no course-specific cali
78,Tom McKibbin,3,50.03,RoyalBirkdaleDebut,0,,49.76,null,null,,VenueHistory 49.8/100 — No Birkdale starts. Open debut — no course-specific cali
79,Michael Kim,3,50.01,RoyalBirkdaleDebut,0,,50.06,null,null,,VenueHistory 50.1/100 — No Birkdale starts. Open debut — no course-specific cali
80,Sami Valimaki,3,49.14,RoyalBirkdaleDebut,0,,50.24,null,null,,VenueHistory 50.2/100 — No Birkdale starts. Open debut — no course-specific cali
81,Brooks Koepka,3,48.17,BirkdaleHistoryThin,1,2.552,64.57,null,T6,6,VenueHistory 64.6/100 — 1 Birkdale event(s): null in 2008 / T6 in 2017 (thin sam
82,Ryan Fox,3,48.02,BirkdaleHistoryThin,1,0.022,48.98,null,CUT,,VenueHistory 49.0/100 — 1 Birkdale event(s): null in 2008 / CUT in 2017 (thin sa
83,Michael Brennan,4,47.91,RoyalBirkdaleDebut,0,,49.13,null,null,,VenueHistory 49.1/100 — No Birkdale starts. Open debut — no course-specific cali
84,Eugenio Chacarra,4,46.99,RoyalBirkdaleDebut,0,,49.64,null,null,,VenueHistory 49.6/100 — No Birkdale starts. Open debut — no course-specific cali
85,Francesco Molinari,4,46.92,BirkdaleHistoryThin,1,-0.478,42.91,null,CUT,,VenueHistory 42.9/100 — 1 Birkdale event(s): null in 2008 / CUT in 2017 (thin sa
86,Andrew Novak,4,46.9,RoyalBirkdaleDebut,0,,49.91,null,null,,VenueHistory 49.9/100 — No Birkdale starts. Open debut — no course-specific cali
87,Ryo Hisatsune,4,46.83,RoyalBirkdaleDebut,0,,49.91,null,null,,VenueHistory 49.9/100 — No Birkdale starts. Open debut — no course-specific cali
88,Hennie Du Plessis,4,46.49,RoyalBirkdaleDebut,0,,49.64,,,,VenueHistory 49.6/100 — No Birkdale starts. Open debut — no course-specific cali
89,Lucas Herbert,4,45.88,RoyalBirkdaleDebut,0,,49.76,null,null,,VenueHistory 49.8/100 — No Birkdale starts. Open debut — no course-specific cali
90,Marco Penge,4,45.78,RoyalBirkdaleDebut,0,,49.1,null,null,,VenueHistory 49.1/100 — No Birkdale starts. Open debut — no course-specific cali
91,Keita Nakajima,4,45.48,RoyalBirkdaleDebut,0,,49.94,null,null,,VenueHistory 49.9/100 — No Birkdale starts. Open debut — no course-specific cali
92,Scott Vincent,4,45.41,RoyalBirkdaleDebut,0,,50.06,null,null,,VenueHistory 50.1/100 — No Birkdale starts. Open debut — no course-specific cali
93,Haotong Li,4,45.01,BirkdaleHistoryThin,1,3.052,68.04,null,3,3,VenueHistory 68.0/100 — 1 Birkdale event(s): null in 2008 / 3 in 2017 (thin samp
94,Henrik Stenson,4,44.49,BirkdaleHistoryThin,2,2.46,71.31,T3,T11,3,VenueHistory 71.3/100 — 2 Birkdale event(s): T3 in 2008 / T11 in 2017 (thin samp
95,Ren Yonezawa,4,43.95,RoyalBirkdaleDebut,0,,50.42,null,null,,VenueHistory 50.4/100 — No Birkdale starts. Open debut — no course-specific cali
96,Stewart Cink,4,42.86,BirkdaleHistoryThin,2,-1.218,33.59,CUT,CUT,,VenueHistory 33.6/100 — 2 Birkdale event(s): CUT in 2008 / CUT in 2017 (thin sam
97,Casey Jarvis,4,42.5,RoyalBirkdaleDebut,0,,50.15,null,null,,VenueHistory 50.1/100 — No Birkdale starts. Open debut — no course-specific cali
98,Dan Brown,4,41.45,RoyalBirkdaleDebut,0,,50.3,null,null,,VenueHistory 50.3/100 — No Birkdale starts. Open debut — no course-specific cali
99,Dan Bradbury,4,41.37,RoyalBirkdaleDebut,0,,50.09,null,null,,VenueHistory 50.1/100 — No Birkdale starts. Open debut — no course-specific cali
100,Sungjae Im,4,41.06,RoyalBirkdaleDebut,0,,50.03,null,null,,VenueHistory 50.0/100 — No Birkdale starts. Open debut — no course-specific cali
101,Max Greyserman,4,41.0,RoyalBirkdaleDebut,0,,49.58,null,null,,VenueHistory 49.6/100 — No Birkdale starts. Open debut — no course-specific cali
102,Andy Sullivan,4,40.97,BirkdaleHistoryThin,1,-0.198,46.38,null,T70,70,VenueHistory 46.4/100 — 1 Birkdale event(s): null in 2008 / T70 in 2017 (thin sa
103,Jose Luis Ballester,4,40.77,RoyalBirkdaleDebut,0,,49.31,null,null,,VenueHistory 49.3/100 — No Birkdale starts. Open debut — no course-specific cali
104,Antoine Rozner,4,40.32,RoyalBirkdaleDebut,0,,49.94,null,null,,VenueHistory 49.9/100 — No Birkdale starts. Open debut — no course-specific cali
105,Jackson Suber,4,40.11,RoyalBirkdaleDebut,0,,49.88,null,null,,VenueHistory 49.9/100 — No Birkdale starts. Open debut — no course-specific cali
106,Billy Horschel,4,40.0,BirkdaleHistoryThin,1,-2.978,35.12,null,CUT,,VenueHistory 35.1/100 — 1 Birkdale event(s): null in 2008 / CUT in 2017 (thin sa
107,Aldrich Potgieter,4,39.95,RoyalBirkdaleDebut,0,,48.92,null,null,,VenueHistory 48.9/100 — No Birkdale starts. Open debut — no course-specific cali
108,Francesco Laporta,4,39.58,RoyalBirkdaleDebut,0,,50.18,null,null,,VenueHistory 50.2/100 — No Birkdale starts. Open debut — no course-specific cali
109,Laurie Canter,4,39.2,BirkdaleHistoryThin,1,1.052,55.04,null,T37,37,VenueHistory 55.0/100 — 1 Birkdale event(s): null in 2008 / T37 in 2017 (thin sa
110,Jesper Svensson,4,38.32,RoyalBirkdaleDebut,0,,49.34,null,null,,VenueHistory 49.3/100 — No Birkdale starts. Open debut — no course-specific cali
111,Alistair Docherty,4,38.07,RoyalBirkdaleDebut,0,,49.64,null,null,,VenueHistory 49.6/100 — No Birkdale starts. Open debut — no course-specific cali
112,Cameron Smith,4,38.04,BirkdaleHistoryThin,1,-1.478,38.58,null,CUT,,VenueHistory 38.6/100 — 1 Birkdale event(s): null in 2008 / CUT in 2017 (thin sa
113,Bernd Wiesberger,4,37.97,BirkdaleHistoryThin,1,-0.448,44.65,null,T74,74,VenueHistory 44.6/100 — 1 Birkdale event(s): null in 2008 / T74 in 2017 (thin sa
114,Kota Kaneko,4,37.95,RoyalBirkdaleDebut,0,,50.84,null,null,,VenueHistory 50.8/100 — No Birkdale starts. Open debut — no course-specific cali
115,Austen Truslow,4,37.86,RoyalBirkdaleDebut,0,,50.03,null,null,,VenueHistory 50.0/100 — No Birkdale starts. Open debut — no course-specific cali
116,Kazuma Kobori,4,37.75,RoyalBirkdaleDebut,0,,50.96,null,null,,VenueHistory 51.0/100 — No Birkdale starts. Open debut — no course-specific cali
117,Shaun Norris,4,37.49,BirkdaleHistoryThin,1,0.052,50.71,null,T62,62,VenueHistory 50.7/100 — 1 Birkdale event(s): null in 2008 / T62 in 2017 (thin sa
118,Adrien Saddier,4,36.04,RoyalBirkdaleDebut,0,,50.09,null,null,,VenueHistory 50.1/100 — No Birkdale starts. Open debut — no course-specific cali
119,Ryutaro Nagano,4,35.8,RoyalBirkdaleDebut,0,,50.09,null,null,,VenueHistory 50.1/100 — No Birkdale starts. Open debut — no course-specific cali
120,Trav Smyth,4,35.65,RoyalBirkdaleDebut,0,,50.21,null,null,,VenueHistory 50.2/100 — No Birkdale starts. Open debut — no course-specific cali
121,Tim Wiedemeyer,4,35.33,RoyalBirkdaleDebut,0,,50.03,null,null,,VenueHistory 50.0/100 — No Birkdale starts. Open debut — no course-specific cali
122,Matthew Jordan,4,35.06,RoyalBirkdaleDebut,0,,50.09,null,null,,VenueHistory 50.1/100 — No Birkdale starts. Open debut — no course-specific cali
123,Joe Dean,4,34.81,BirkdaleHistoryThin,1,-0.198,46.38,null,T70,70,VenueHistory 46.4/100 — 1 Birkdale event(s): null in 2008 / T70 in 2017 (thin sa
124,Kazuki Higa,4,34.63,RoyalBirkdaleDebut,0,,50.6,null,null,,VenueHistory 50.6/100 — No Birkdale starts. Open debut — no course-specific cali
125,Joakim Lagergren,4,34.41,RoyalBirkdaleDebut,0,,49.82,null,null,,VenueHistory 49.8/100 — No Birkdale starts. Open debut — no course-specific cali
126,Martin Couvra,4,34.01,RoyalBirkdaleDebut,0,,50.15,null,null,,VenueHistory 50.1/100 — No Birkdale starts. Open debut — no course-specific cali
127,Cameron John,4,33.69,RoyalBirkdaleDebut,0,,49.76,null,null,,VenueHistory 49.8/100 — No Birkdale starts. Open debut — no course-specific cali
128,Caleb Surratt,4,33.56,RoyalBirkdaleDebut,0,,49.61,null,null,,VenueHistory 49.6/100 — No Birkdale starts. Open debut — no course-specific cali
129,Frederic LaCroix,4,33.45,RoyalBirkdaleDebut,0,,50.03,null,null,,VenueHistory 50.0/100 — No Birkdale starts. Open debut — no course-specific cali
130,Michael Hollick,4,33.21,RoyalBirkdaleDebut,0,,50.45,null,null,,VenueHistory 50.5/100 — No Birkdale starts. Open debut — no course-specific cali
131,Stuart Grehan,4,33.06,RoyalBirkdaleDebut,0,,50.3,null,null,,VenueHistory 50.3/100 — No Birkdale starts. Open debut — no course-specific cali
132,MJ Daffue,4,33.01,RoyalBirkdaleDebut,0,,49.58,null,null,,VenueHistory 49.6/100 — No Birkdale starts. Open debut — no course-specific cali
133,Padraig Harrington,5,32.73,BirkdaleHistoryThin,2,2.752,75.36,1,CUT,1,VenueHistory 75.4/100 — 2 Birkdale event(s): 1 in 2008 / CUT in 2017 (thin sampl
134,Alejandro De Castro Piera,5,32.57,RoyalBirkdaleDebut,0,,50.3,,,,VenueHistory 50.3/100 — No Birkdale starts. Open debut — no course-specific cali
135,Darren Clarke,5,32.38,BirkdaleHistoryThin,1,-0.978,40.32,null,CUT,,VenueHistory 40.3/100 — 1 Birkdale event(s): null in 2008 / CUT in 2017 (thin sa
136,Baard Skogen,5,32.24,RoyalBirkdaleDebut,0,,50.21,null,null,,VenueHistory 50.2/100 — No Birkdale starts. Open debut — no course-specific cali
137,Jiho Yang,5,32.18,RoyalBirkdaleDebut,0,,50.33,null,null,,VenueHistory 50.3/100 — No Birkdale starts. Open debut — no course-specific cali
138,James Nicholas,5,31.88,RoyalBirkdaleDebut,0,,49.67,null,null,,VenueHistory 49.7/100 — No Birkdale starts. Open debut — no course-specific cali
139,Jack McDonald,5,31.16,RoyalBirkdaleDebut,0,,50.51,null,null,,VenueHistory 50.5/100 — No Birkdale starts. Open debut — no course-specific cali
140,Marcus Plunkett,5,31.16,RoyalBirkdaleDebut,0,,49.64,null,null,,VenueHistory 49.6/100 — No Birkdale starts. Open debut — no course-specific cali
141,Jeong Woo Ham,5,31.03,RoyalBirkdaleDebut,0,,50.51,null,null,,VenueHistory 50.5/100 — No Birkdale starts. Open debut — no course-specific cali
142,Jack Buchanan,5,30.8,RoyalBirkdaleDebut,0,,50.3,null,null,,VenueHistory 50.3/100 — No Birkdale starts. Open debut — no course-specific cali
143,Peter Uihlein,5,30.48,BirkdaleHistoryThin,1,0.802,52.44,null,T44,44,VenueHistory 52.4/100 — 1 Birkdale event(s): null in 2008 / T44 in 2017 (thin sa
144,Sam Bairstow,5,30.27,RoyalBirkdaleDebut,0,,49.85,null,null,,VenueHistory 49.9/100 — No Birkdale starts. Open debut — no course-specific cali
145,David Howard,5,30.24,RoyalBirkdaleDebut,0,,50.6,null,null,,VenueHistory 50.6/100 — No Birkdale starts. Open debut — no course-specific cali
146,Matthew Baldwin,5,29.09,RoyalBirkdaleDebut,0,,50.48,null,null,,VenueHistory 50.5/100 — No Birkdale starts. Open debut — no course-specific cali
147,Tiger Christensen,5,28.62,RoyalBirkdaleDebut,0,,49.7,null,null,,VenueHistory 49.7/100 — No Birkdale starts. Open debut — no course-specific cali
148,Matthew Southgate,5,28.42,BirkdaleHistoryThin,1,2.552,64.57,null,T6,6,VenueHistory 64.6/100 — 1 Birkdale event(s): null in 2008 / T6 in 2017 (thin sam
149,Nevill Ruiter,5,27.65,RoyalBirkdaleDebut,0,,49.52,null,null,,VenueHistory 49.5/100 — No Birkdale starts. Open debut — no course-specific cali
150,Lev Grinberg,5,26.89,RoyalBirkdaleDebut,0,,49.91,null,null,,VenueHistory 49.9/100 — No Birkdale starts. Open debut — no course-specific cali
151,David Duval,5,26.63,BirkdaleHistoryThin,2,-0.248,43.02,T39,CUT,39,VenueHistory 43.0/100 — 2 Birkdale event(s): T39 in 2008 / CUT in 2017 (thin sam
152,Naoyuki Kataoka,5,25.69,RoyalBirkdaleDebut,0,,50.36,null,null,,VenueHistory 50.4/100 — No Birkdale starts. Open debut — no course-specific cali
153,Fifa Laopakdee,5,24.35,RoyalBirkdaleDebut,0,,49.76,null,null,,VenueHistory 49.8/100 — No Birkdale starts. Open debut — no course-specific cali
154,Mason Howell,5,23.86,RoyalBirkdaleDebut,0,,49.67,null,null,,VenueHistory 49.7/100 — No Birkdale starts. Open debut — no course-specific cali
155,Mateo Pulcini,5,22.65,RoyalBirkdaleDebut,0,,49.94,null,null,,VenueHistory 49.9/100 — No Birkdale starts. Open debut — no course-specific cali
156,Tom Sloman,5,20.95,RoyalBirkdaleDebut,0,,49.94,null,null,,VenueHistory 49.9/100 — No Birkdale starts. Open debut — no course-specific cali
