player_name,2021 (Rocket Mortgage Classic),2022 (Rocket Mortgage Classic),2023 (Rocket Mortgage Classic),2024 (Rocket Mortgage Classic),2025 (Rocket Classic),rounds_played,historical_true_sg,versus_expected,ch_adjustment,experience_adjustment
"Bauchou, Zach",null,null,null,null,null,2,-6.233,-5.103,-0.038,-0.026
"Hojgaard, Rasmus",null,null,null,null,CUT,2,-0.517,-1.112,-0.008,-0.026
"Vilips, Karl",null,null,null,null,CUT,2,-3.517,-3.18,-0.024,-0.026
"Conners, Corey",null,null,null,null,null,2,-1.233,-1.235,-0.009,-0.026
"Nyholm, Pontus",null,null,null,null,null,0,null,null,null,-0.044
"Parry, John",null,null,null,null,null,0,null,null,null,-0.044
"Pavon, Matthieu",null,null,null,null,null,0,null,null,null,-0.044
"Penge, Marco",null,null,null,null,null,0,null,null,null,-0.044
"Rozo, Marcelo",null,null,null,null,null,0,null,null,null,-0.044
"Ruffels, Ryan",null,null,null,null,null,0,null,null,null,-0.044
"Smith, Jordan",null,null,null,null,null,0,null,null,null,-0.044
"Saddier, Adrien",null,null,null,null,null,0,null,null,null,-0.044
"Schauffele, Xander",null,null,null,null,null,0,null,null,null,-0.044
"Spieth, Jordan",null,null,null,null,null,0,null,null,null,-0.044
"VanDerLaan, John",null,null,null,null,null,0,null,null,null,-0.044
"Wilkes-Krier, Patrick",null,null,null,null,null,0,null,null,null,-0.044
"Nakajima, Keita",null,null,null,null,null,0,null,null,null,-0.044
"Neergaard-Petersen, Rasmus",null,null,null,null,null,0,null,null,null,-0.044
"Hirata, Kensei",null,null,null,null,null,0,null,null,null,-0.044
"Mazzoli, Stefano",null,null,null,null,null,0,null,null,null,-0.044
"Li, Haotong",null,null,null,null,null,0,null,null,null,-0.044
"Lamprecht, Christo",null,null,null,null,null,0,null,null,null,-0.044
"Koepka, Brooks",null,null,null,null,null,0,null,null,null,-0.044
"Keefer, Johnny",null,null,null,null,null,0,null,null,null,-0.044
"Kang, Jeffrey",null,null,null,null,null,0,null,null,null,-0.044
"Jennings, William",null,null,null,null,null,0,null,null,null,-0.044
"Ewart, A.J.",null,null,null,null,null,0,null,null,null,-0.044
"Dalke, Brad",null,null,null,null,null,0,null,null,null,-0.044
"Chatfield, Davis",null,null,null,null,null,0,null,null,null,-0.044
"Campbell, Brian",null,null,null,null,null,0,null,null,null,-0.044
"Brennan, Michael",null,null,null,null,null,0,null,null,null,-0.044
"Blanchet, Chandler",null,null,null,null,null,0,null,null,null,-0.044
"Yellamaraju, Sudarshan",null,null,null,null,null,0,null,null,null,-0.044
