playerid,playername,firstname,lastname,worldrank,main_tour,datadepthclass,baselineconfidenceband,neutralskillsg,neutralskillindex,venuefitscore,venuefitdelta,venuefitconfidenceband,venue_history_rounds,venue_history_sg_total,venuehistorydelta,venuehistoryconfidenceband,prepenaltyvts,blendclass,blendweightsused,debutflag,debutclass,debutpenaltyapplied,antipatternflags,antipatternpenaltytotal,antipattern_penalty_bomb_and_spray,antipattern_penalty_short_and_wild,antipattern_penalty_long_iron_liability,antipattern_penalty_weak_tight_runoff,antipattern_penalty_poor_lag_putting,formscore_adjusted,recentformindex,form_vs_neutralskill,recentformgateapplied,recentformgate_reason,form_delta_vts,injuryflag,healthgatestatus,healthgatereason,health_delta_vts,playervarianceband,volatilityindex,venuevarianceclass,vtsfinal_raw,vtsfinal,tier,tierreason,tier_gate_flag,tier_gate_reason,winpct,top3pct,top5pct,top10pct,top20pct,makecutpct,misscutpct,primary_trait_driver,primary_risk_trait,trait_summary_label,tracenotes
11,"CANTLAY, PATRICK",Patrick,Cantlay,36.0,PGA Tour,deep,high,1.59,80.07425742574257,79.46038817427878,-0.6138692514637967,high,0,0.0,0.0,low,79.85940318773025,Neutral+Venue,"{""neutral"": 0.65, ""venuefit"": 0.35, ""venuehistory"": 0.0}",False,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.84935,86.58767175091391,0.57,False,,0.0,False,ok,,0.0,low,25.0,high,79.85940318773025,79.85940318773025,2,"Strong NeutralSG=1.59, solid Shinnecock fit VFD=-0.6",False,,0.022468733823649768,0.39726366380350886,0.4917164495687041,0.6028330691599253,0.7145330060693154,0.8384091159819973,0.1615908840180027,OTT_Distance,MajorGrind,OTT_Distance + OTT_Accuracy; weak MajorGrind,NeutralSG=1.59; VFD=-0.6; ->Tier2 vtsfinal=79.9
12,"BURNS, SAM",Sam,Burns,30.0,PGA Tour,deep,high,1.6,80.19801980198021,74.56996047010487,-5.628059331875335,high,0,0.0,0.0,low,78.22819903582383,Neutral+Venue,"{""neutral"": 0.65, ""venuefit"": 0.35, ""venuehistory"": 0.0}",False,,0.0,bomb_and_spray;weak_tight_runoff,-6.1106549889320885,-3.9067714937864575,0.0,0.0,-2.203883495145631,0.0,1.6454999999999997,82.5664943905206,0.11,False,,0.0,False,ok,,0.0,low,25.0,high,59.89623406902757,59.89623406902757,3,"Mid-tier NeutralSG=1.60, moderate fit VFD=-5.6",False,,0.005332684432796876,0.07272752090480075,0.12653335549082767,0.22656850371871542,0.3944174916852871,0.566219712346499,0.43378028765350096,PUTT_LagCtrl,MajorGrind,PUTT_LagCtrl + OTT_Distance; weak MajorGrind,NeutralSG=1.60; VFD=-5.6; AP=-6.1VTS (bomb_and_spray;weak_tight_runoff); ->Tier3 vtsfinal=59.9
13,"SPAUN, J.J.",J.J.,Spaun,9.0,PGA Tour,deep,high,1.64,80.69306930693068,84.5343183434428,3.8412490365121243,high,0,0.0,0.0,low,82.03750646970992,Neutral+Venue,"{""neutral"": 0.65, ""venuefit"": 0.35, ""venuehistory"": 0.0}",False,,0.0,poor_lag_putting,-1.3233333333333335,0.0,0.0,0.0,0.0,-1.3233333333333335,1.81745,85.6296483045506,0.39,False,,0.0,False,ok,,0.0,low,25.0,high,78.06750646970993,78.06750646970993,2,"Strong NeutralSG=1.64, solid Shinnecock fit VFD=3.8",False,,0.020058563962115618,0.35416060480697736,0.4515188898003375,0.5699021559590168,0.6925357008259002,0.8288266078547096,0.17117339214529037,OTT_Accuracy,PUTT_LagCtrl,OTT_Accuracy + OTT_Distance; weak PUTT_LagCtrl,NeutralSG=1.64; VFD=3.8; AP=-1.3VTS (poor_lag_putting); ->Tier2 vtsfinal=78.1
14,"MCNEALY, MAVERICK",Maverick,McNealy,37.0,PGA Tour,deep,high,1.53,79.33168316831683,73.67114071141253,-5.660542456904295,high,0,0.0,0.0,low,77.35049330840033,Neutral+Venue,"{""neutral"": 0.65, ""venuefit"": 0.35, ""venuehistory"": 0.0}",False,,0.0,bomb_and_spray,-3.910423535379153,-3.910423535379153,0.0,0.0,0.0,0.0,1.55275,81.24290936593975,0.05,False,,0.0,False,ok,,0.0,low,25.0,high,65.61922270226287,65.61922270226287,2,"Strong NeutralSG=1.53, solid Shinnecock fit VFD=-5.7",False,,0.008415960842256478,0.1274595289661019,0.20229368572577963,0.32422692558517147,0.496974262903101,0.6883746745277116,0.3116253254722884,ARG_TightRunoff,MajorGrind,ARG_TightRunoff + OTT_Distance; weak MajorGrind,NeutralSG=1.53; VFD=-5.7; AP=-3.9VTS (bomb_and_spray); ->Tier2 vtsfinal=65.6
15,"MORIKAWA, COLLIN",Collin,Morikawa,10.0,PGA Tour,deep,high,1.33,76.85643564356435,82.72560520893262,5.869169565368267,high,0,0.0,0.0,low,78.91064499144325,Neutral+Venue,"{""neutral"": 0.65, ""venuefit"": 0.35, ""venuehistory"": 0.0}",False,,0.0,poor_lag_putting,-1.3100000000000003,0.0,0.0,0.0,0.0,-1.3100000000000003,1.41645,79.9571410563469,0.19,False,,0.0,False,ok,,0.0,low,25.0,high,74.98064499144324,74.98064499144324,2,"Strong NeutralSG=1.33, solid Shinnecock fit VFD=5.9",False,,0.016394348312529717,0.28441685686054946,0.3825759620049837,0.5099986878418625,0.6505305141879315,0.8074415083800156,0.1925584916199844,OTT_Accuracy,MajorGrind,OTT_Accuracy + WindTolerance; weak MajorGrind,NeutralSG=1.33; VFD=5.9; AP=-1.3VTS (poor_lag_putting); ->Tier2 vtsfinal=75.0
16,"GOTTERUP, CHRIS",Chris,Gotterup,11.0,PGA Tour,deep,high,1.54,79.45544554455446,73.87968526453147,-5.57576028002299,high,0,0.0,0.0,low,77.50392944654642,Neutral+Venue,"{""neutral"": 0.65, ""venuefit"": 0.35, ""venuehistory"": 0.0}",False,,0.0,bomb_and_spray;long_iron_liability,-8.522595400750285,-4.162414405275172,0.0,-4.360180995475114,0.0,0.0,1.5581999999999998,81.28072608092776,0.04,False,,0.0,False,ok,,0.0,low,25.0,high,51.936143244295565,51.936143244295565,3,"Mid-tier NeutralSG=1.54, moderate fit VFD=-5.6",False,,0.0026139470016789245,0.03179790087921857,0.06185572032006929,0.1270376209594993,0.26290825507777604,0.36036553590071374,0.6396344640992863,OTT_Distance,APP_200+,OTT_Distance + OTT_Accuracy; weak APP_200+,NeutralSG=1.54; VFD=-5.6; AP=-8.5VTS (bomb_and_spray;long_iron_liability); ->Tier3 vtsfinal=51.9
17,"ENGLISH, HARRIS",Harris,English,22.0,PGA Tour,deep,high,1.43,78.09405940594058,74.22163466406491,-3.872424741875676,high,0,0.0,0.0,low,76.7387107462841,Neutral+Venue,"{""neutral"": 0.65, ""venuefit"": 0.35, ""venuehistory"": 0.0}",False,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.49825,80.86474221605951,0.15,False,,0.0,False,ok,,0.0,low,25.0,high,76.7387107462841,76.7387107462841,2,"Strong NeutralSG=1.43, solid Shinnecock fit VFD=-3.9",False,,0.018408601258073587,0.3232999374327507,0.4216585543375521,0.5445303844156794,0.6750817614556837,0.8204482051201543,0.17955179487984574,PUTT_LagCtrl,MajorGrind,PUTT_LagCtrl + ARG_TightRunoff; weak MajorGrind,NeutralSG=1.43; VFD=-3.9; ->Tier2 vtsfinal=76.7
18,"CLARK, WYNDHAM",Wyndham,Clark,34.0,PGA Tour,deep,high,1.09,73.88613861386139,76.27012972181012,2.383991107948731,high,0,0.0,0.0,low,74.72053550164344,Neutral+Venue,"{""neutral"": 0.65, ""venuefit"": 0.35, ""venuehistory"": 0.0}",False,,0.0,bomb_and_spray,-3.9579000760842,-3.9579000760842,0.0,0.0,0.0,0.0,1.6542,86.19689902937098,1.24,False,,1.8599999999999999,False,ok,,0.0,high,75.0,high,64.70683527339084,64.70683527339084,3,"Mid-tier NeutralSG=1.09, moderate fit VFD=2.4",False,,0.00941630120195291,0.14283966739083243,0.23019969623883066,0.37570739506244266,0.5874921405874565,0.7832988884274446,0.21670111157255545,ARG_TightRunoff,MajorGrind,ARG_TightRunoff + ARG_Bunker; weak MajorGrind,NeutralSG=1.09; VFD=2.4; AP=-4.0VTS (bomb_and_spray); ->Tier3 vtsfinal=64.7
19,"DECHAMBEAU, BRYSON",Bryson,DeChambeau,32.0,LIV Golf,medium,medium,1.15,74.62871287128712,68.26523414764468,-6.363478723642444,medium,0,0.0,0.0,low,72.40149531801227,Neutral+Venue,"{""neutral"": 0.65, ""venuefit"": 0.35, ""venuehistory"": 0.0}",False,,0.0,bomb_and_spray;long_iron_liability;weak_tight_runoff,-9.0,-4.0656353030687296,0.0,-4.41447963800905,-2.432732316227462,0.0,1.0369,73.81822765662423,-0.3,False,,0.0,False,ok,,0.0,medium,50.0,high,45.401495318012266,45.401495318012266,4,"Below-avg skill or venue mismatch VFD=-6.4, AP=-9.0",False,,0.0014678841027913146,0.017535522364913313,0.036974533369282754,0.08364168654570345,0.1965685922134969,0.23504971507073466,0.7649502849292653,OTT_Distance,APP_200+,OTT_Distance + OTT_Accuracy; weak APP_200+,NeutralSG=1.15; VFD=-6.4; AP=-9.0VTS (bomb_and_spray;long_iron_liability;weak_tight_runoff); ->Tier4 vtsfinal=45.4
20,"SCOTT, ADAM",Adam,Scott,49.0,PGA Tour,deep,high,1.18,75.0,76.22875297295398,1.2287529729539841,high,0,0.0,0.0,low,75.4300635405339,Neutral+Venue,"{""neutral"": 0.65, ""venuefit"": 0.35, ""venuehistory"": 0.0}",False,,0.0,bomb_and_spray,-4.140502155718996,-4.140502155718996,0.0,0.0,0.0,0.0,1.3028499999999998,78.77221732005546,0.27,False,,0.0,False,ok,,0.0,low,25.0,high,63.008557073376906,63.008557073376906,3,"Mid-tier NeutralSG=1.18, moderate fit VFD=1.2",False,,0.0068698296639465185,0.09914833135081777,0.164297865783429,0.27724916827446605,0.45015402731476917,0.637151052977643,0.36284894702235704,OTT_Distance,MajorGrind,OTT_Distance + OTT_Accuracy; weak MajorGrind,NeutralSG=1.18; VFD=1.2; AP=-4.1VTS (bomb_and_spray); ->Tier3 vtsfinal=63.0
21,"THOMAS, JUSTIN",Justin,Thomas,16.0,PGA Tour,medium,medium,1.04,73.26732673267327,72.24700902765122,-1.0203177050220518,medium,0,0.0,0.0,low,72.91021553591555,Neutral+Venue,"{""neutral"": 0.65, ""venuefit"": 0.35, ""venuehistory"": 0.0}",False,,0.0,bomb_and_spray;poor_lag_putting,-5.141525910896949,-3.8848592442302814,0.0,0.0,0.0,-1.2566666666666673,1.4495,82.5664943905206,1.06,False,,1.59,False,ok,,0.0,high,75.0,high,59.07563780322471,59.07563780322471,3,"Mid-tier NeutralSG=1.04, moderate fit VFD=-1.0",False,,0.0059727129069512335,0.08178747396594833,0.14406363696132077,0.26189642336663527,0.46436624575501767,0.6370421117376315,0.3629578882623685,ARG_TightRunoff,MajorGrind,ARG_TightRunoff + ARG_Bunker; weak MajorGrind,NeutralSG=1.04; VFD=-1.0; AP=-5.1VTS (bomb_and_spray;poor_lag_putting); ->Tier3 vtsfinal=59.1
22,"KNAPP, JAKE",Jake,Knapp,43.0,PGA Tour,medium,medium,1.76,82.17821782178217,71.39374048525309,-10.78447733652908,medium,0,0.0,0.0,low,78.403650753997,Neutral+Venue,"{""neutral"": 0.65, ""venuefit"": 0.35, ""venuehistory"": 0.0}",False,,0.0,long_iron_liability,-4.349321266968325,0.0,0.0,-4.349321266968325,0.0,0.0,1.7248999999999999,83.02029497037691,-0.09,False,,0.0,False,ok,,0.0,medium,50.0,high,65.35568695309202,65.35568695309202,2,"Strong NeutralSG=1.76, solid Shinnecock fit VFD=-10.8",False,,0.009073146068617751,0.13813413601373659,0.22021201106925842,0.35480410256747213,0.5469747944076283,0.7595281024080371,0.24047189759196286,PUTT_LagCtrl,MajorGrind,PUTT_LagCtrl + OTT_Distance; weak MajorGrind,NeutralSG=1.76; VFD=-10.8; AP=-4.3VTS (long_iron_liability); ->Tier2 vtsfinal=65.4
23,"HOVLAND, VIKTOR",Viktor,Hovland,28.0,PGA Tour,deep,high,1.48,78.7128712871287,82.30235250147729,3.589481214348581,high,0,0.0,0.0,low,79.96918971215071,Neutral+Venue,"{""neutral"": 0.65, ""venuefit"": 0.35, ""venuehistory"": 0.0}",False,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.39355,78.49489474347662,-0.18,False,,0.0,False,ok,,0.0,low,25.0,high,79.96918971215071,79.96918971215071,2,"Strong NeutralSG=1.48, solid Shinnecock fit VFD=3.6",False,,0.022623603243075552,0.3999454273338923,0.4941641476099942,0.6047964970851913,0.715822926613463,0.8389382856405754,0.16106171435942462,WindTolerance,MajorGrind,WindTolerance + OTT_Accuracy; weak MajorGrind,NeutralSG=1.48; VFD=3.6; ->Tier2 vtsfinal=80.0
24,"GRIFFIN, BEN",Ben,Griffin,15.0,PGA Tour,deep,high,1.45,78.34158415841584,76.15746532680596,-2.1841188316098794,high,0,0.0,0.0,low,77.57714256735238,Neutral+Venue,"{""neutral"": 0.65, ""venuefit"": 0.35, ""venuehistory"": 0.0}",False,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.4090500000000001,78.9991176099836,-0.08,False,,0.0,False,ok,,0.0,low,25.0,high,77.57714256735238,77.57714256735238,2,"Strong NeutralSG=1.45, solid Shinnecock fit VFD=-2.2",False,,0.019436461082308048,0.3426435435951288,0.4404871252081877,0.5606242154721952,0.6862070539689791,0.8258697057655414,0.17413029423445858,ARG_TightRunoff,MajorGrind,ARG_TightRunoff + ARG_Bunker; weak MajorGrind,NeutralSG=1.45; VFD=-2.2; ->Tier2 vtsfinal=77.6
25,"KITAYAMA, KURT",Kurt,Kitayama,31.0,PGA Tour,deep,high,1.29,76.36138613861387,76.71996361069569,0.35857747208181934,high,0,0.0,0.0,low,76.4868882538425,Neutral+Venue,"{""neutral"": 0.65, ""venuefit"": 0.35, ""venuehistory"": 0.0}",False,,0.0,weak_tight_runoff,-2.31622746185853,0.0,0.0,0.0,-2.31622746185853,0.0,1.5812,83.42367326358251,0.64,False,,0.0,False,ok,,0.0,low,25.0,high,69.5382058682669,69.5382058682669,2,"Strong NeutralSG=1.29, solid Shinnecock fit VFD=0.4",False,,0.011247751301364666,0.18224194712732514,0.2702114337968935,0.40035160404324294,0.5650759736095511,0.7498494330393705,0.25015056696062954,OTT_Distance,MajorGrind,OTT_Distance + OTT_Accuracy; weak MajorGrind,NeutralSG=1.29; VFD=0.4; AP=-2.3VTS (weak_tight_runoff); ->Tier2 vtsfinal=69.5
26,"LOWRY, SHANE",Shane,Lowry,44.0,PGA Tour,deep,high,1.04,73.26732673267327,75.51561339717888,2.2482866645056134,high,0,0.0,0.0,low,74.05422706525023,Neutral+Venue,"{""neutral"": 0.65, ""venuefit"": 0.35, ""venuehistory"": 0.0}",False,,0.0,weak_tight_runoff,-2.361997226074896,0.0,0.0,0.0,-2.361997226074896,0.0,1.13555,76.47800327744864,0.21,False,,0.0,False,ok,,0.0,low,25.0,high,66.96823538702554,66.96823538702554,2,"Strong NeutralSG=1.04, solid Shinnecock fit VFD=2.2",False,,0.009317353549342827,0.1445735429862953,0.22423067503731062,0.34981314526310187,0.5208343427274266,0.7116158371020567,0.28838416289794333,OTT_Distance,MajorGrind,OTT_Distance + OTT_Accuracy; weak MajorGrind,NeutralSG=1.04; VFD=2.2; AP=-2.4VTS (weak_tight_runoff); ->Tier2 vtsfinal=67.0
27,"GERARD, RYAN",Ryan,Gerard,23.0,PGA Tour,deep,high,0.88,71.28712871287128,73.4902749278444,2.203146214973117,high,0,0.0,0.0,low,72.05822988811187,Neutral+Venue,"{""neutral"": 0.65, ""venuefit"": 0.35, ""venuehistory"": 0.0}",False,,0.0,weak_tight_runoff,-2.3869625520110955,0.0,0.0,0.0,-2.3869625520110955,0.0,1.11205,77.10828186058238,0.51,False,,0.0,False,ok,,0.0,low,25.0,high,64.89734223207859,64.89734223207859,3,"Mid-tier NeutralSG=0.88, moderate fit VFD=2.2",False,,0.007963112561596162,0.11901645139986683,0.191198136101838,0.310876685744595,0.48408674043297,0.675026958857113,0.32497304114288705,OTT_Accuracy,MajorGrind,OTT_Accuracy + OTT_Distance; weak MajorGrind,NeutralSG=0.88; VFD=2.2; AP=-2.4VTS (weak_tight_runoff); ->Tier3 vtsfinal=64.9
28,"NOREN, ALEX",Alex,Noren,20.0,PGA Tour,deep,high,1.32,76.73267326732673,79.32280544445427,2.5901321771275434,high,0,0.0,0.0,low,77.63921952932137,Neutral+Venue,"{""neutral"": 0.65, ""venuefit"": 0.35, ""venuehistory"": 0.0}",False,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.37915,79.30165132988782,0.13,False,,0.0,False,ok,,0.0,low,25.0,high,77.63921952932137,77.63921952932137,2,"Strong NeutralSG=1.32, solid Shinnecock fit VFD=2.6",False,,0.019514350582090046,0.34409367855272194,0.44188331979711265,0.5618044923308935,0.6870155165220883,0.8262525274501918,0.17374747254980816,PUTT_LagCtrl,APP_150-200,PUTT_LagCtrl + ARG_TightRunoff; weak APP_150-200,NeutralSG=1.32; VFD=2.6; ->Tier2 vtsfinal=77.6
29,"MACINTYRE, ROBERT",Robert,MacIntyre,17.0,PGA Tour,deep,high,1.51,79.08415841584157,72.95472774177117,-6.129430674070406,high,0,0.0,0.0,low,76.93885767991694,Neutral+Venue,"{""neutral"": 0.65, ""venuefit"": 0.35, ""venuehistory"": 0.0}",False,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0004,70.6668347409555,-1.12,True,Last20 vs baseline = -1.12 SG (threshold -1.0),-2.24,False,ok,,0.0,high,75.0,high,74.69885767991694,74.69885767991694,2,"Strong NeutralSG=1.51, solid Shinnecock fit VFD=-6.1; form-gated",False,,0.019306313166258984,0.3402930390630579,0.4600341119115431,0.616470241747236,0.7900997238643919,0.9393224037084051,0.06067759629159486,ARG_TightRunoff,APP_FlightCtrl,ARG_TightRunoff + PUTT_LagCtrl; weak APP_FlightCtrl,NeutralSG=1.51; VFD=-6.1; form-gate(-1.12); ->Tier2 vtsfinal=74.7
