rank_model,player_name,neutral_skill_sg,neutral_skill_index,data_depth_class,baseline_confidence_band,venue_fit_score,venue_fit_delta,venue_fit_confidence_band,comp_course_adjustment,venue_history_rounds,venue_history_sg,venue_history_delta,venue_history_confidence_band,pre_penalty_vts,blend_class,blend_weights_used,tier_eligibility_gate_status,debut_class,debut_penalty_applied,anti_pattern_flags,anti_pattern_penalty_total,anti_pattern_trigger_trace,anti_pattern_modifier_trace,primary_risk_trait,risk_stressor_active,risk_secondary_discount_applied,risk_discount_trace,form_score_adjusted,recent_form_index,recent_form_gate_applied,health_flag,health_gate_status,health_gate_reason,player_variance_band,volatility_index,venue_variance_class,variance_adjustment_trace,probability_compression_class,probability_compression_coefficients,probability_compression_trace,vts_final,tier,tier_reason,win_pct,top3_pct,top5_pct,top10_pct,top20_pct,make_cut_pct,miss_cut_pct,trace_notes
39,Maverick McNealy,-0.09,87.74,FULL,not_available_in_v3_source,51.44,51.44,0.65,not_available_in_v3_source,1,-2.978,35.12,LIGHT,63.13,v3_fixed_40_30_15_15,NSI=0.40;VFS=0.30;VHN=0.15;FORM=0.15,not_available_in_v3_source,BirkdaleHistoryThin,0,Anti-pattern flags: Long-Iron Weakness — exposure in the dominant par-4 approach range at Birkdale.,0.0,not_available_in_v3_source,not_available_in_v3_source,standard major championship variance,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,48.92,48.92,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,HIGH,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,63.13,3,competent approach (SG:APP +0.20) — sufficient for Birkdale's mid-iron corridors; single Birkdale event on record (SG -2.978/rd) — limited but positive signal.,0.88,not_available_in_v3_source,4.51,8.98,17.48,73.4,26.6,"NSI=87.7(w=0.40) + VFS=51.4(w=0.30) + VHN=35.1(w=0.15) + FORM=48.9(w=0.15) = VTS=63.1. VFS = base 49.5 + links_delta +2.0. Links trace: raw_sig=+0.495; delta_vfs=+1.98; windows=[6m:no_data | 12m:+1.537(ev=1,conf=0.40→adj=+0.615) | 24m:+0.495(ev=2,conf=0.75→adj=+0.371) | alltime:+0.324(ev=4,conf=1.00→adj=+0.324)]"
40,Keith Mitchell,0.49,72.26,DEBUT,not_available_in_v3_source,61.02,61.02,0.65,not_available_in_v3_source,0,,49.55,NONE,63.02,v3_fixed_40_30_15_15,NSI=0.40;VFS=0.30;VHN=0.15;FORM=0.15,not_available_in_v3_source,RoyalBirkdaleDebut,0,No anti-pattern flags. Clean structural profile — no recurring weak-link traits identified for Royal Birkdale.,0.0,not_available_in_v3_source,not_available_in_v3_source,standard major championship variance,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,55.88,55.88,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,HIGH,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,63.02,3,competent approach (SG:APP +0.20) — sufficient for Birkdale's mid-iron corridors.,0.87,not_available_in_v3_source,4.48,8.94,17.41,73.1,26.9,"NSI=72.3(w=0.40) + VFS=61.0(w=0.30) + VHN=49.5(w=0.15) + FORM=55.9(w=0.15) = VTS=63.0. VFS = base 60.4 + links_delta +0.6. Links trace: raw_sig=+0.149; delta_vfs=+0.60; windows=[6m:no_data | 12m:+0.537(ev=1,conf=0.40→adj=+0.215) | 24m:+0.117(ev=2,conf=0.75→adj=+0.088) | alltime:+0.042(ev=6,conf=1.00→adj=+0.042)]"
41,Tyrrell Hatton,0.81,75.48,FULL,not_available_in_v3_source,58.6,58.6,1.0,not_available_in_v3_source,1,-2.478,36.85,LIGHT,62.26,v3_fixed_40_30_15_15,NSI=0.40;VFS=0.30;VHN=0.15;FORM=0.15,not_available_in_v3_source,BirkdaleHistoryThin,0,No anti-pattern flags. Clean structural profile — no recurring weak-link traits identified for Royal Birkdale.,0.0,not_available_in_v3_source,not_available_in_v3_source,standard major championship variance,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,59.72,59.72,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,HIGH,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,62.26,3,strong approach game (SG:APP +0.52) in the primary scoring zone; single Birkdale event on record (SG -2.478/rd) — limited but positive signal; positive links SG signal (+0.869/rd) supports links-surface fit.,0.82,not_available_in_v3_source,4.29,8.62,16.92,71.6,28.4,"NSI=75.5(w=0.40) + VFS=58.6(w=0.30) + VHN=36.9(w=0.15) + FORM=59.7(w=0.15) = VTS=62.3. VFS = base 55.1 + links_delta +3.5. Links trace: raw_sig=+0.869; delta_vfs=+3.47; windows=[6m:+1.918(ev=1,conf=0.40→adj=+0.767) | 12m:+0.920(ev=3,conf=0.75→adj=+0.690) | 24m:+1.330(ev=6,conf=1.00→adj=+1.330) | alltime:+0.925(ev=40,conf=1.00→adj=+0.925)]"
42,Corey Conners,-0.41,63.87,DEBUT,not_available_in_v3_source,74.25,74.25,1.0,not_available_in_v3_source,0,,50.09,NONE,62.1,v3_fixed_40_30_15_15,NSI=0.40;VFS=0.30;VHN=0.15;FORM=0.15,not_available_in_v3_source,RoyalBirkdaleDebut,0,Anti-pattern flags: Poor Links Putter — below-field on fescue; links surfaces amplify weak putting.,0.0,not_available_in_v3_source,not_available_in_v3_source,putting volatility on links fescue,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,45.08,45.08,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,HIGH,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,62.1,3,strong approach game (SG:APP +0.60) in the primary scoring zone.,0.81,not_available_in_v3_source,4.25,8.55,16.82,71.3,28.7,"NSI=63.9(w=0.40) + VFS=74.2(w=0.30) + VHN=50.1(w=0.15) + FORM=45.1(w=0.15) = VTS=62.1. VFS = base 72.3 + links_delta +1.9. Links trace: raw_sig=+0.486; delta_vfs=+1.94; windows=[6m:+0.168(ev=1,conf=0.40→adj=+0.067) | 12m:+0.477(ev=2,conf=0.75→adj=+0.358) | 24m:+1.142(ev=4,conf=1.00→adj=+1.142) | alltime:+1.086(ev=9,conf=1.00→adj=+1.086)]"
43,J.T. Poston,0.51,69.03,DEBUT,not_available_in_v3_source,58.47,58.47,0.3,not_available_in_v3_source,0,,50.18,NONE,61.1,v3_fixed_40_30_15_15,NSI=0.40;VFS=0.30;VHN=0.15;FORM=0.15,not_available_in_v3_source,RoyalBirkdaleDebut,0,No anti-pattern flags. Clean structural profile — no recurring weak-link traits identified for Royal Birkdale.,0.0,not_available_in_v3_source,not_available_in_v3_source,standard major championship variance,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,56.12,56.12,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,HIGH,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,61.1,3,competent approach (SG:APP +0.21) — sufficient for Birkdale's mid-iron corridors.,0.76,not_available_in_v3_source,4.02,8.16,16.21,69.2,30.8,"NSI=69.0(w=0.40) + VFS=58.5(w=0.30) + VHN=50.2(w=0.15) + FORM=56.1(w=0.15) = VTS=61.1. VFS = base 58.0 + links_delta +0.5. Links trace: raw_sig=+0.125; delta_vfs=+0.50; windows=[6m:no_data | 12m:no_data | 24m:-0.589(ev=1,conf=0.40→adj=-0.236) | alltime:+0.846(ev=4,conf=1.00→adj=+0.846)]"
44,Tom Kim,1.3,58.71,DEBUT,not_available_in_v3_source,66.92,66.92,1.0,not_available_in_v3_source,0,,50.09,NONE,60.91,v3_fixed_40_30_15_15,NSI=0.40;VFS=0.30;VHN=0.15;FORM=0.15,not_available_in_v3_source,RoyalBirkdaleDebut,0,No anti-pattern flags. Clean structural profile — no recurring weak-link traits identified for Royal Birkdale.,0.0,not_available_in_v3_source,not_available_in_v3_source,standard major championship variance,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,65.6,65.6,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,HIGH,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,60.91,3,strong approach game (SG:APP +0.50) in the primary scoring zone; elite links SG signal (+1.959/rd weighted) confirms links-surface upside.,0.75,not_available_in_v3_source,3.97,8.08,16.1,68.8,31.2,"NSI=58.7(w=0.40) + VFS=66.9(w=0.30) + VHN=50.1(w=0.15) + FORM=65.6(w=0.15) = VTS=60.9. VFS = base 59.1 + links_delta +7.8. Links trace: raw_sig=+1.959; delta_vfs=+7.84; windows=[6m:+4.168(ev=1,conf=0.40→adj=+1.667) | 12m:+2.977(ev=2,conf=0.75→adj=+2.233) | 24m:+1.924(ev=4,conf=1.00→adj=+1.924) | alltime:+2.095(ev=8,conf=1.00→adj=+2.095)]"
45,Bryson DeChambeau,-0.32,80.65,FULL,not_available_in_v3_source,53.76,53.76,0.3,not_available_in_v3_source,1,-3.478,34.25,LIGHT,60.45,v3_fixed_40_30_15_15,NSI=0.40;VFS=0.30;VHN=0.15;FORM=0.15,not_available_in_v3_source,BirkdaleHistoryThin,0,Anti-pattern flags: Weak ARG/Links Rough — revetted bunkers and steep run-offs create up-and-down challenge.,0.0,not_available_in_v3_source,not_available_in_v3_source,standard major championship variance,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,46.16,46.16,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,HIGH,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,60.45,3,competent approach (SG:APP +0.19) — sufficient for Birkdale's mid-iron corridors; single Birkdale event on record (SG -3.478/rd) — limited but positive signal.,0.72,not_available_in_v3_source,3.87,7.91,15.83,67.8,32.2,"NSI=80.7(w=0.40) + VFS=53.8(w=0.30) + VHN=34.2(w=0.15) + FORM=46.2(w=0.15) = VTS=60.5. VFS = base 54.5 + links_delta -0.7. Links trace: raw_sig=-0.183; delta_vfs=-0.73; windows=[6m:no_data | 12m:no_data | 24m:-1.089(ev=1,conf=0.40→adj=-0.436) | alltime:+0.323(ev=5,conf=1.00→adj=+0.323)]"
46,Kristoffer Reitan,0.06,74.84,DEBUT,not_available_in_v3_source,50.1,50.1,1.0,not_available_in_v3_source,0,,49.58,NONE,60.01,v3_fixed_40_30_15_15,NSI=0.40;VFS=0.30;VHN=0.15;FORM=0.15,not_available_in_v3_source,RoyalBirkdaleDebut,0,Anti-pattern flags: Long-Iron Weakness — exposure in the dominant par-4 approach range at Birkdale; Weak ARG/Links Rough — revetted bunkers and steep run-offs create up-and-down challenge.,0.0,not_available_in_v3_source,not_available_in_v3_source,standard major championship variance,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,50.72,50.72,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,HIGH,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,60.01,3,competent approach (SG:APP +0.09) — sufficient for Birkdale's mid-iron corridors.,0.7,not_available_in_v3_source,3.77,7.74,15.57,66.8,33.2,"NSI=74.8(w=0.40) + VFS=50.1(w=0.30) + VHN=49.6(w=0.15) + FORM=50.7(w=0.15) = VTS=60.0. VFS = base 48.3 + links_delta +1.8. Links trace: raw_sig=+0.447; delta_vfs=+1.79; windows=[6m:-1.661(ev=1,conf=0.40→adj=-0.664) | 12m:+1.188(ev=5,conf=1.00→adj=+1.188) | 24m:+1.188(ev=5,conf=1.00→adj=+1.188) | alltime:+0.266(ev=9,conf=1.00→adj=+0.266)]"
47,Alex Smalley,0.23,71.61,DEBUT,not_available_in_v3_source,52.73,52.73,1.0,not_available_in_v3_source,0,,49.88,NONE,59.86,v3_fixed_40_30_15_15,NSI=0.40;VFS=0.30;VHN=0.15;FORM=0.15,not_available_in_v3_source,RoyalBirkdaleDebut,0,No anti-pattern flags. Clean structural profile — no recurring weak-link traits identified for Royal Birkdale.,0.0,not_available_in_v3_source,not_available_in_v3_source,standard major championship variance,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,52.76,52.76,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,HIGH,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,59.86,3,competent approach (SG:APP +0.35) — sufficient for Birkdale's mid-iron corridors.,0.69,not_available_in_v3_source,3.74,7.69,15.49,66.5,33.5,"NSI=71.6(w=0.40) + VFS=52.7(w=0.30) + VHN=49.9(w=0.15) + FORM=52.8(w=0.15) = VTS=59.9. VFS = base 51.2 + links_delta +1.5. Links trace: raw_sig=+0.380; delta_vfs=+1.52; windows=[6m:-0.161(ev=1,conf=0.40→adj=-0.064) | 12m:+0.804(ev=2,conf=0.75→adj=+0.603) | 24m:+0.804(ev=2,conf=0.75→adj=+0.603) | alltime:+0.705(ev=4,conf=1.00→adj=+0.705)]"
48,Alex Fitzpatrick,1.0,61.29,DEBUT,not_available_in_v3_source,60.75,60.75,1.0,not_available_in_v3_source,0,,49.97,NONE,59.54,v3_fixed_40_30_15_15,NSI=0.40;VFS=0.30;VHN=0.15;FORM=0.15,not_available_in_v3_source,RoyalBirkdaleDebut,0,No anti-pattern flags. Clean structural profile — no recurring weak-link traits identified for Royal Birkdale.,0.0,not_available_in_v3_source,not_available_in_v3_source,standard major championship variance,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,62.0,62.0,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,HIGH,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,59.54,3,competent approach (SG:APP +0.33) — sufficient for Birkdale's mid-iron corridors.,0.68,not_available_in_v3_source,3.67,7.57,15.3,65.8,34.2,"NSI=61.3(w=0.40) + VFS=60.8(w=0.30) + VHN=50.0(w=0.15) + FORM=62.0(w=0.15) = VTS=59.5. VFS = base 61.9 + links_delta -1.1. Links trace: raw_sig=-0.287; delta_vfs=-1.15; windows=[6m:-0.661(ev=1,conf=0.40→adj=-0.264) | 12m:-0.676(ev=5,conf=1.00→adj=-0.676) | 24m:+0.018(ev=9,conf=1.00→adj=+0.018) | alltime:+0.384(ev=13,conf=1.00→adj=+0.384)]"
49,Justin Thomas,0.63,79.35,FULL,not_available_in_v3_source,42.36,42.36,1.0,not_available_in_v3_source,1,-0.478,42.91,LIGHT,59.52,v3_fixed_40_30_15_15,NSI=0.40;VFS=0.30;VHN=0.15;FORM=0.15,not_available_in_v3_source,BirkdaleHistoryThin,0,Anti-pattern flags: Approach Liability — below-field in the primary 150–200yd scoring zone; Long-Iron Weakness — exposure in the dominant par-4 approach range at Birkdale.,0.0,not_available_in_v3_source,not_available_in_v3_source,approach liability in primary scoring zone,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,57.56,57.56,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,HIGH,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,59.52,3,competent approach (SG:APP +0.15) — sufficient for Birkdale's mid-iron corridors; single Birkdale event on record (SG -0.478/rd) — limited but positive signal.,0.68,not_available_in_v3_source,3.67,7.56,15.29,65.7,34.3,"NSI=79.3(w=0.40) + VFS=42.4(w=0.30) + VHN=42.9(w=0.15) + FORM=57.6(w=0.15) = VTS=59.5. VFS = base 40.5 + links_delta +1.9. Links trace: raw_sig=+0.473; delta_vfs=+1.89; windows=[6m:+0.418(ev=1,conf=0.40→adj=+0.167) | 12m:+0.977(ev=2,conf=0.75→adj=+0.733) | 24m:+0.767(ev=4,conf=1.00→adj=+0.767) | alltime:+0.047(ev=12,conf=1.00→adj=+0.047)]"
50,Gary Woodland,0.09,67.1,FULL,not_available_in_v3_source,57.46,57.46,0.65,not_available_in_v3_source,1,-0.198,46.38,LIGHT,58.7,v3_fixed_40_30_15_15,NSI=0.40;VFS=0.30;VHN=0.15;FORM=0.15,not_available_in_v3_source,BirkdaleHistoryThin,0,Anti-pattern flags: Weak ARG/Links Rough — revetted bunkers and steep run-offs create up-and-down challenge.,0.0,not_available_in_v3_source,not_available_in_v3_source,standard major championship variance,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,51.08,51.08,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,HIGH,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,58.7,3,competent approach (SG:APP +0.32) — sufficient for Birkdale's mid-iron corridors; single Birkdale event on record (SG -0.198/rd) — limited but positive signal.,0.64,not_available_in_v3_source,3.5,7.28,14.83,63.9,36.1,"NSI=67.1(w=0.40) + VFS=57.5(w=0.30) + VHN=46.4(w=0.15) + FORM=51.1(w=0.15) = VTS=58.7. VFS = base 57.2 + links_delta +0.3. Links trace: raw_sig=+0.073; delta_vfs=+0.29; windows=[6m:no_data | 12m:+0.037(ev=1,conf=0.40→adj=+0.015) | 24m:-0.033(ev=3,conf=0.75→adj=-0.025) | alltime:+0.469(ev=15,conf=1.00→adj=+0.469)]"
51,Brian Harman,0.33,66.45,FULL,not_available_in_v3_source,59.7,59.7,1.0,not_available_in_v3_source,1,-0.978,40.32,LIGHT,58.63,v3_fixed_40_30_15_15,NSI=0.40;VFS=0.30;VHN=0.15;FORM=0.15,not_available_in_v3_source,BirkdaleHistoryThin,0,No anti-pattern flags. Clean structural profile — no recurring weak-link traits identified for Royal Birkdale.,0.0,not_available_in_v3_source,not_available_in_v3_source,standard major championship variance,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,53.96,53.96,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,HIGH,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,58.63,3,competent approach (SG:APP +0.39) — sufficient for Birkdale's mid-iron corridors; single Birkdale event on record (SG -0.978/rd) — limited but positive signal; positive links SG signal (+0.596/rd) supports links-surface fit.,0.64,not_available_in_v3_source,3.49,7.25,14.8,63.7,36.3,"NSI=66.5(w=0.40) + VFS=59.7(w=0.30) + VHN=40.3(w=0.15) + FORM=54.0(w=0.15) = VTS=58.6. VFS = base 57.3 + links_delta +2.4. Links trace: raw_sig=+0.596; delta_vfs=+2.38; windows=[6m:+0.918(ev=1,conf=0.40→adj=+0.367) | 12m:+0.727(ev=2,conf=0.75→adj=+0.545) | 24m:+0.767(ev=4,conf=1.00→adj=+0.767) | alltime:+1.231(ev=12,conf=1.00→adj=+1.231)]"
52,Bud Cauley,0.62,60.0,DEBUT,not_available_in_v3_source,61.16,61.16,1.0,not_available_in_v3_source,0,,49.97,NONE,58.46,v3_fixed_40_30_15_15,NSI=0.40;VFS=0.30;VHN=0.15;FORM=0.15,not_available_in_v3_source,RoyalBirkdaleDebut,0,Anti-pattern flags: Poor Links Putter — below-field on fescue; links surfaces amplify weak putting.,0.0,not_available_in_v3_source,not_available_in_v3_source,putting volatility on links fescue,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,57.44,57.44,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,HIGH,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,58.46,3,competent approach (SG:APP +0.39) — sufficient for Birkdale's mid-iron corridors.,0.63,not_available_in_v3_source,3.45,7.19,14.7,63.3,36.7,"NSI=60.0(w=0.40) + VFS=61.2(w=0.30) + VHN=50.0(w=0.15) + FORM=57.4(w=0.15) = VTS=58.5. VFS = base 66.1 + links_delta -5.0. Links trace: raw_sig=-1.238; delta_vfs=-4.95; windows=[6m:-4.661(ev=1,conf=0.40→adj=-1.864) | 12m:-1.362(ev=2,conf=0.75→adj=-1.022) | 24m:-1.362(ev=2,conf=0.75→adj=-1.022) | alltime:-0.311(ev=3,conf=0.75→adj=-0.233)]"
53,Jordan Spieth,-0.7,70.32,FULL,not_available_in_v3_source,44.85,44.85,0.3,not_available_in_v3_source,1,4.552,68.9,LIGHT,58.16,v3_fixed_40_30_15_15,NSI=0.40;VFS=0.30;VHN=0.15;FORM=0.15,not_available_in_v3_source,BirkdaleHistoryThin,0,Anti-pattern flags: Approach Liability — below-field in the primary 150–200yd scoring zone; Long-Iron Weakness — exposure in the dominant par-4 approach range at Birkdale.,0.0,not_available_in_v3_source,not_available_in_v3_source,approach liability in primary scoring zone,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,41.6,41.6,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,HIGH,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,58.16,3,competent approach (SG:APP +0.24) — sufficient for Birkdale's mid-iron corridors; single Birkdale event on record (SG +4.552/rd) — limited but positive signal; positive links SG signal (+1.072/rd) supports links-surface fit.,0.61,not_available_in_v3_source,3.39,7.09,14.54,62.6,37.4,"NSI=70.3(w=0.40) + VFS=44.9(w=0.30) + VHN=68.9(w=0.15) + FORM=41.6(w=0.15) = VTS=58.2. VFS = base 40.6 + links_delta +4.3. Links trace: raw_sig=+1.072; delta_vfs=+4.29; windows=[6m:no_data | 12m:no_data | 24m:+0.785(ev=2,conf=0.75→adj=+0.589) | alltime:+2.038(ev=12,conf=1.00→adj=+2.038)]"
54,Matt McCarty,-0.69,68.39,DEBUT,not_available_in_v3_source,53.96,53.96,1.0,not_available_in_v3_source,0,,50.21,NONE,57.33,v3_fixed_40_30_15_15,NSI=0.40;VFS=0.30;VHN=0.15;FORM=0.15,not_available_in_v3_source,RoyalBirkdaleDebut,0,No anti-pattern flags. Clean structural profile — no recurring weak-link traits identified for Royal Birkdale.,0.0,not_available_in_v3_source,not_available_in_v3_source,standard major championship variance,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,41.72,41.72,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,HIGH,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,57.33,3,competent approach (SG:APP +0.21) — sufficient for Birkdale's mid-iron corridors; positive links SG signal (+0.602/rd) supports links-surface fit.,0.58,not_available_in_v3_source,3.24,6.82,14.1,60.7,39.3,"NSI=68.4(w=0.40) + VFS=54.0(w=0.30) + VHN=50.2(w=0.15) + FORM=41.7(w=0.15) = VTS=57.3. VFS = base 51.6 + links_delta +2.4. Links trace: raw_sig=+0.602; delta_vfs=+2.41; windows=[6m:+0.339(ev=1,conf=0.40→adj=+0.136) | 12m:+1.138(ev=2,conf=0.75→adj=+0.853) | 24m:+1.138(ev=2,conf=0.75→adj=+0.853) | alltime:+1.138(ev=2,conf=0.75→adj=+0.853)]"
55,Michael Thorbjornsen,-0.14,67.74,DEBUT,not_available_in_v3_source,50.24,50.24,1.0,not_available_in_v3_source,0,,49.55,NONE,56.85,v3_fixed_40_30_15_15,NSI=0.40;VFS=0.30;VHN=0.15;FORM=0.15,not_available_in_v3_source,RoyalBirkdaleDebut,0,Anti-pattern flags: Long-Iron Weakness — exposure in the dominant par-4 approach range at Birkdale; Poor Links Putter — below-field on fescue; links surfaces amplify weak putting.,0.0,not_available_in_v3_source,not_available_in_v3_source,putting volatility on links fescue,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,48.32,48.32,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,HIGH,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,56.85,3,near-average approach (SG:APP +0.02) — below the Birkdale threshold; positive links SG signal (+1.167/rd) supports links-surface fit.,0.56,not_available_in_v3_source,3.15,6.66,13.85,59.5,40.5,"NSI=67.7(w=0.40) + VFS=50.2(w=0.30) + VHN=49.5(w=0.15) + FORM=48.3(w=0.15) = VTS=56.9. VFS = base 45.6 + links_delta +4.7. Links trace: raw_sig=+1.167; delta_vfs=+4.67; windows=[6m:+2.918(ev=1,conf=0.40→adj=+1.167) | 12m:+2.918(ev=1,conf=0.40→adj=+1.167) | 24m:+2.918(ev=1,conf=0.40→adj=+1.167) | alltime:+2.918(ev=1,conf=0.40→adj=+1.167)]"
56,Angel Ayora,-0.35,65.81,DEBUT,not_available_in_v3_source,53.56,53.56,1.0,not_available_in_v3_source,0,,49.46,NONE,56.68,v3_fixed_40_30_15_15,NSI=0.40;VFS=0.30;VHN=0.15;FORM=0.15,not_available_in_v3_source,RoyalBirkdaleDebut,0,Anti-pattern flags: Weak ARG/Links Rough — revetted bunkers and steep run-offs create up-and-down challenge.,0.0,not_available_in_v3_source,not_available_in_v3_source,standard major championship variance,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,45.8,45.8,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,HIGH,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,56.68,3,competent approach (SG:APP +0.20) — sufficient for Birkdale's mid-iron corridors.,0.55,not_available_in_v3_source,3.12,6.61,13.76,59.1,40.9,"NSI=65.8(w=0.40) + VFS=53.6(w=0.30) + VHN=49.5(w=0.15) + FORM=45.8(w=0.15) = VTS=56.7. VFS = base 51.8 + links_delta +1.8. Links trace: raw_sig=+0.438; delta_vfs=+1.75; windows=[6m:-0.161(ev=1,conf=0.40→adj=-0.064) | 12m:+0.709(ev=4,conf=1.00→adj=+0.709) | 24m:+0.709(ev=4,conf=1.00→adj=+0.709) | alltime:+0.709(ev=4,conf=1.00→adj=+0.709)]"
