POS,Player,TOT,THRU,R1,sg-ott,sg-ott (rank),sg-app to green,sg-app to green (rank),sg-around green,sg-around green (rank),sg-putting,sg-putting (Rank),sg-total,sg-total (rank)
T41,Davis Riley,,F,-1,0.37,(36th),0.28,(37th),0.07,(34th),0.28,(37th),1.00,(T41)
T41,Michael Kim,,F,-1,-0.08,(51st),0.41,(34th),0.31,(24th),0.36,(34th),1.00,(T41)
T41,Rasmus Neergaard-Petersen,,F,-1,0.23,(43rd),0.22,(38th),0.33,(23rd),0.22,(39th),1.00,(T41)
T41,Angel Hidalgo,,F,-1,0.19,(44th),0.52,(28th),-0.09,(49th),0.38,(33rd),1.00,(T41)
T41,Shaun Norris,,F,-1,-0.33,(57th),0.39,(35th),0.42,(20th),0.52,(28th),1.00,(T41)
T41,Max McGreevy,,F,-2,0.28,(41st),0.83,(20th),-0.29,(60th),1.18,(T14th),2.00,(T41)
T41,Grant Forrest,,F,-2,0.61,(28th),0.72,(22nd),0.14,(31st),0.53,(27th),2.00,(T41)
T41,Victor Perez,,F,-2,-0.44,(63rd),0.62,(25th),0.62,(12th),1.20,(T14th),2.00,(T41)
T41,Alex Noren,,F,-2,0.53,(30th),0.41,(34th),0.42,(19th),0.64,(23rd),2.00,(T41)
T41,Justin Thomas,,F,-2,0.77,(21st),0.92,(18th),-0.11,(50th),0.42,(31st),2.00,(T41)
T57,Sudarshan Yellamaraju,,F,E,0.22,(43rd),-0.08,(47th),0.15,(30th),-0.29,(59th),0.00,(T57)
T57,Johnny Keefer,,F,E,-0.16,(54th),0.11,(42nd),0.22,(27th),-0.17,(55th),0.00,(T57)
T57,Nico Echavarria,,F,E,0.31,(38th),-0.14,(52nd),-0.08,(48th),-0.09,(51st),0.00,(T57)
T57,Mikael Lindberg,,F,-1,0.34,(37th),0.18,(40th),-0.04,(46th),0.52,(28th),1.00,(T57)
T57,Scott Jamieson,,F,-1,-0.28,(56th),0.43,(33rd),0.22,(27th),0.63,(24th),1.00,(T57)
T57,Ockie Strydom,,F,-1,0.24,(42nd),0.29,(37th),0.38,(22nd),0.09,(44th),1.00,(T57)
T57,Nicolai Von Dellingshausen,,F,-1,0.45,(32nd),0.11,(43rd),0.28,(25th),0.16,(41st),1.00,(T57)
T64,Laurie Canter,,F,E,-0.29,(57th),0.18,(40th),0.03,(36th),0.08,(45th),0.00,(T64)
T64,Marcel Siem,,F,E,-0.51,(65th),0.22,(38th),-0.14,(51st),0.43,(30th),0.00,(T64)
T64,Nacho Elvira,,F,E,0.14,(46th),-0.11,(50th),0.19,(29th),-0.22,(57th),0.00,(T64)
T67,Brandt Snedeker,,F,+1,0.18,(44th),-0.44,(61st),-0.13,(50th),-0.61,(69th),-1.00,(T67)
T67,Adam Scott,,F,+1,-0.22,(55th),-0.51,(63rd),0.18,(30th),-0.45,(65th),-1.00,(T67)
T67,Antoine Rozner,,F,+1,0.41,(34th),-0.62,(64th),-0.29,(59th),-0.50,(66th),-1.00,(T67)
T70,Max Greyserman,,F,+2,-0.28,(57th),-0.88,(66th),-0.19,(54th),-0.65,(70th),-2.00,(T70)
T70,Jacques Kruyswijk,,F,+2,0.11,(47th),-0.71,(65th),-0.33,(60th),-1.07,(71st),-2.00,(T70)
