playerid,firstname,lastname,playername,worldrank,main_tour,datadepthclass,baselineconfidenceband,truesg_total_12m,truesg_ott_12m,truesg_app_12m,truesg_arg_12m,truesg_putt_12m,truesg_sample_events,truesg_sample_rounds,wins_12m,win_rate_12m,driving_distance_delta,driving_accuracy_delta,neutralskillsg,neutralskillindex,trait_ott_distance,trait_ott_accuracy,trait_ott_total,trait_app_total,trait_app_150_200,trait_app_200_plus,trait_app_short,trait_app_flight_control,trait_arg_total,trait_arg_tight_runoff,trait_arg_bunker,trait_putt_total,trait_putt_distance_control,trait_putt_short_conversion,trait_wind_tolerance,trait_major_grind,coursefit_adj_total,coursefit_adj_ott,coursefit_adj_app,coursefit_adj_arg,coursefit_adj_putt,shotdist_approach_100_150,shotdist_approach_150_175,shotdist_approach_175_200,shotdist_approach_200_225,shotdist_approach_225_plus,shotdist_par3_175_200,shotdist_par3_200_plus,venuefitscore,venuefitdelta,venuefitconfidenceband,venue_history_rounds,venue_history_sg_total,venue_history_sg_ott,venue_history_sg_app,venue_history_sg_arg,venue_history_sg_putt,venuehistorydelta,venuehistoryconfidenceband,last20rds_sg,last20_vs_baseline,formscore_raw,recentformindex,form_vs_neutralskill,formscore_adjusted,recentformgateapplied,recentformgate_reason,debutflag,debutclass,injuryflag,healthgatestatus,healthgatereason,antipattern_bomb_and_spray_flag,antipattern_short_and_wild_flag,antipattern_long_iron_liability_flag,antipattern_weak_tight_runoff_flag,antipattern_poor_lag_putting_flag,primary_trait_driver,primary_risk_trait,trait_summary_label
11,Patrick,Cantlay,"CANTLAY, PATRICK",36.0,PGA Tour,deep,high,1.59,1.52,0.7,0.39,0.09,20,72,0.0,0.0,2.9,-0.5,1.59,80.07425742574257,85.89906162820189,84.44322394617603,85.77648766328012,54.15617128463476,55.64581640942323,55.42986425339366,52.97157622739017,52.774974772956604,91.53225806451613,80.58252427184466,75.00000000000001,65.88235294117646,55.75757575757579,62.941176470588225,80.1665725578769,27.792096219931274,0.06,0.0,0.03,0.03,0.665,1.3,5.0,7.9,3.6,3.6,7.9,3.6,79.46038817427878,-0.6138692514637967,high,0,0.0,0.0,0.0,0.0,0.0,0.0,low,2.16,0.57,1.9889999999999999,86.58767175091391,0.57,1.84935,False,,False,,False,ok,,False,False,False,False,False,OTT_Distance,MajorGrind,OTT_Distance + OTT_Accuracy; weak MajorGrind
12,Sam,Burns,"BURNS, SAM",30.0,PGA Tour,deep,high,1.6,0.82,0.48,-0.03,0.78,24,90,0.0,0.0,8.6,-0.5,1.6,80.19801980198021,78.46817144306367,74.83180008238362,75.61683599419449,48.614609571788414,53.53371242891958,47.05882352941178,47.286821705426355,47.225025227043396,74.59677419354838,65.88072122052705,57.500000000000014,86.17647058823529,82.72727272727273,86.17647058823528,70.99096555618296,27.83505154639176,0.05,-0.03,0.02,0.05,0.675,1.3,5.2,7.9,3.5,3.5,7.9,3.5,74.56996047010487,-5.628059331875335,high,0,0.0,0.0,0.0,0.0,0.0,0.0,low,1.7,0.11,1.67,82.5664943905206,0.11,1.6454999999999997,False,,False,,False,ok,,True,False,False,True,False,PUTT_LagCtrl,MajorGrind,PUTT_LagCtrl + OTT_Distance; weak MajorGrind
13,J.J.,Spaun,"SPAUN, J.J.",9.0,PGA Tour,deep,high,1.64,1.78,0.96,0.3,-0.14,25,86,2.0,0.08,0.6,4.9,1.64,80.69306930693068,88.61273142277454,90.23753947549086,89.5500725689405,60.70528967254408,60.35743298131601,68.0995475113122,57.10594315245478,62.058526740666,87.9032258064516,76.83772538141471,67.08333333333333,59.11764705882352,51.81818181818183,56.1764705882353,88.43873517786561,55.4982817869416,0.09,0.05,0.04,0.0,0.67,1.2,4.9,8.0,3.8,3.8,8.0,3.8,84.5343183434428,3.8412490365121243,high,0,0.0,0.0,0.0,0.0,0.0,0.0,low,2.03,0.39,1.9129999999999998,85.6296483045506,0.39,1.81745,False,,False,,False,ok,,False,False,False,False,True,OTT_Accuracy,PUTT_LagCtrl,OTT_Accuracy + OTT_Distance; weak PUTT_LagCtrl
14,Maverick,McNealy,"MCNEALY, MAVERICK",37.0,PGA Tour,deep,high,1.53,0.87,0.22,0.3,0.63,24,90,0.0,0.0,6.5,-1.3,1.53,79.33168316831683,78.56961704286077,75.18879582589591,76.34252539912917,42.0654911838791,45.57270511779043,41.17647058823531,43.15245478036175,40.26236125126135,87.9032258064516,82.38557558945911,75.41666666666666,81.76470588235294,69.09090909090911,78.8235294117647,68.54884246188594,27.53436426116839,0.04,-0.03,0.01,0.07,0.66,1.4,5.1,7.9,3.5,3.5,7.9,3.5,73.67114071141253,-5.660542456904295,high,0,0.0,0.0,0.0,0.0,0.0,0.0,low,1.58,0.05,1.565,81.24290936593975,0.05,1.55275,False,,False,,False,ok,,True,False,False,False,False,ARG_TightRunoff,MajorGrind,ARG_TightRunoff + OTT_Distance; weak MajorGrind
15,Collin,Morikawa,"MORIKAWA, COLLIN",10.0,PGA Tour,deep,high,1.33,1.54,0.96,0.12,-0.22,20,74,1.0,0.05,0.6,7.7,1.33,76.85643564356435,85.56936342886128,88.09556501441713,86.066763425254,60.70528967254408,60.35743298131601,71.49321266968323,57.10594315245478,63.47124117053481,80.64516129032259,69.34812760055479,63.750000000000014,56.76470588235294,52.42424242424243,53.8235294117647,87.64822134387352,43.857388316151216,0.11,0.06,0.03,0.02,0.675,1.2,4.9,8.0,3.9,3.9,8.0,3.9,82.72560520893262,5.869169565368267,high,0,0.0,0.0,0.0,0.0,0.0,0.0,low,1.52,0.19,1.4629999999999999,79.9571410563469,0.19,1.41645,False,,False,,False,ok,,False,False,False,False,True,OTT_Accuracy,MajorGrind,OTT_Accuracy + WindTolerance; weak MajorGrind
16,Chris,Gotterup,"GOTTERUP, CHRIS",11.0,PGA Tour,deep,high,1.54,1.21,0.35,0.1,0.4,25,98,3.0,0.12,17.1,-5.2,1.54,79.45544554455446,85.56936342886128,78.2507208567898,81.27721335268505,45.34005037783375,55.239642567018684,30.542986425339357,43.927648578811365,41.57416750756811,79.83870967741935,74.06380027739252,62.91666666666668,75.0,71.21212121212123,74.99999999999996,70.73687182382834,68.81443298969072,-0.04,-0.08,0.02,0.03,0.675,1.3,5.5,7.9,3.1,3.1,7.9,3.1,73.87968526453147,-5.57576028002299,high,0,0.0,0.0,0.0,0.0,0.0,0.0,low,1.58,0.04,1.5679999999999998,81.28072608092776,0.04,1.5581999999999998,False,,False,,False,ok,,True,False,True,False,False,OTT_Distance,APP_200+,OTT_Distance + OTT_Accuracy; weak APP_200+
17,Harris,English,"ENGLISH, HARRIS",22.0,PGA Tour,deep,high,1.43,0.71,0.14,0.15,0.74,24,94,0.0,0.0,1.8,3.6,1.43,78.09405940594058,75.34871924930258,75.01029795413977,74.02031930333817,40.050377833753146,40.37367993501219,49.54751131221719,38.50129198966408,40.71644803229062,81.85483870967741,76.14424410540914,69.16666666666666,85.0,78.48484848484851,84.99999999999996,69.02879728966685,27.10481099656358,0.08,0.03,0.01,0.05,0.67,1.3,4.9,8.0,3.8,3.8,8.0,3.8,74.22163466406491,-3.872424741875676,high,0,0.0,0.0,0.0,0.0,0.0,0.0,low,1.58,0.15,1.535,80.86474221605951,0.15,1.49825,False,,False,,False,ok,,False,False,False,False,False,PUTT_LagCtrl,MajorGrind,PUTT_LagCtrl + ARG_TightRunoff; weak MajorGrind
18,Wyndham,Clark,"CLARK, WYNDHAM",34.0,PGA Tour,deep,high,1.09,0.98,0.48,0.46,0.27,26,90,1.0,0.04,6.2,-3.9,1.09,73.88613861386139,79.88840984022319,75.62817520252642,77.93904208998548,48.614609571788414,53.53371242891958,47.05882352941178,49.870801033591725,45.50958627648839,94.35483870967741,86.26907073509015,82.08333333333333,71.17647058823529,58.181818181818166,68.23529411764706,70.65217391304348,39.390034364261176,0.03,-0.05,0.02,0.05,0.66,1.4,5.2,7.9,3.5,3.5,7.9,3.5,76.27012972181012,2.383991107948731,high,0,0.0,0.0,0.0,0.0,0.0,0.0,low,2.33,1.24,1.958,86.19689902937098,1.24,1.6542,False,,False,,False,ok,,True,False,False,False,False,ARG_TightRunoff,MajorGrind,ARG_TightRunoff + ARG_Bunker; weak MajorGrind
19,Bryson,DeChambeau,"DECHAMBEAU, BRYSON",32.0,LIV Golf,medium,medium,1.15,0.97,0.3,-0.28,0.12,19,61,2.0,0.11,18.5,-1.5,1.15,74.62871287128712,82.88105503423789,76.47947274474805,77.79390420899854,44.08060453400504,54.02112103980505,29.41176470588236,40.05167958656331,42.179616548940466,64.51612903225806,58.252427184466015,47.083333333333336,66.76470588235294,65.75757575757574,66.76470588235293,69.87577639751552,63.70274914089349,-0.04,-0.07,0.02,0.01,0.68,1.2,5.5,8.0,3.1,3.1,8.0,3.1,68.26523414764468,-6.363478723642444,medium,0,0.0,0.0,0.0,0.0,0.0,0.0,low,0.86,-0.3,0.976,73.81822765662423,-0.3,1.0369,False,,False,,False,ok,,True,False,True,True,False,OTT_Distance,APP_200+,OTT_Distance + OTT_Accuracy; weak APP_200+
20,Adam,Scott,"SCOTT, ADAM",49.0,PGA Tour,deep,high,1.18,1.32,0.88,0.02,-0.12,24,92,0.0,0.0,9.2,-1.3,1.18,75.0,84.96068983007862,81.36756830976248,82.87373004354137,58.69017632241814,63.28188464662876,56.10859728506787,57.62273901808786,56.91220988900102,76.61290322580645,67.96116504854369,59.58333333333334,59.705882352941174,55.4545454545455,56.76470588235293,79.43252399774138,26.03092783505155,0.01,-0.03,0.03,0.0,0.675,1.3,5.2,7.9,3.5,3.5,7.9,3.5,76.22875297295398,1.2287529729539841,high,0,0.0,0.0,0.0,0.0,0.0,0.0,low,1.45,0.27,1.3689999999999998,78.77221732005546,0.27,1.3028499999999998,False,,False,,False,ok,,True,False,False,False,False,OTT_Distance,MajorGrind,OTT_Distance + OTT_Accuracy; weak MajorGrind
21,Justin,Thomas,"THOMAS, JUSTIN",16.0,PGA Tour,medium,medium,1.04,0.88,0.23,0.47,0.16,18,68,0.0,0.0,3.2,-3.8,1.04,73.26732673267327,77.85949784428101,74.2963064671152,76.48766328011611,42.31738035264484,45.81640942323315,44.79638009049775,40.82687338501292,39.25327951564077,94.75806451612901,86.68515950069349,78.33333333333333,67.94117647058823,54.848484848484844,62.05882352941175,67.3348390739695,25.429553264604817,0.05,-0.02,0.02,0.05,0.66,1.3,5.1,7.9,3.6,3.6,7.9,3.6,72.24700902765122,-1.0203177050220518,medium,0,0.0,0.0,0.0,0.0,0.0,0.0,low,2.09,1.06,1.67,82.5664943905206,1.06,1.4495,False,,False,,False,ok,,True,False,False,False,True,ARG_TightRunoff,MajorGrind,ARG_TightRunoff + ARG_Bunker; weak MajorGrind
22,Jake,Knapp,"KNAPP, JAKE",43.0,PGA Tour,medium,medium,1.76,0.96,0.21,-0.03,0.78,15,56,0.0,0.0,17.3,0.8,1.76,82.17821782178217,82.44991123510019,77.28957847041055,77.6487663280116,41.81360201511335,50.20308692120228,30.769230769230777,40.310077519379846,41.06962663975782,74.59677419354838,68.65464632454923,57.500000000000014,86.17647058823529,82.72727272727273,86.17647058823528,70.27103331451158,28.522336769759455,-0.02,-0.06,0.01,0.02,0.675,1.3,5.4,8.0,3.2,3.2,8.0,3.2,71.39374048525309,-10.78447733652908,medium,0,0.0,0.0,0.0,0.0,0.0,0.0,low,1.67,-0.09,1.706,83.02029497037691,-0.09,1.7248999999999999,False,,False,,False,ok,,False,False,True,False,False,PUTT_LagCtrl,MajorGrind,PUTT_LagCtrl + OTT_Distance; weak MajorGrind
23,Viktor,Hovland,"HOVLAND, VIKTOR",28.0,PGA Tour,deep,high,1.48,1.32,0.96,0.2,0.16,23,87,0.0,0.0,-0.7,5.4,1.48,78.7128712871287,82.44991123510019,84.12742001922285,82.87373004354137,60.70528967254408,60.35743298131601,68.0995475113122,59.68992248062014,62.31079717457114,83.87096774193549,72.67683772538142,67.08333333333336,67.94117647058823,63.939393939393966,64.99999999999999,84.17560700169395,27.319587628865982,0.1,0.04,0.03,0.02,0.675,1.3,4.9,8.0,3.8,3.8,8.0,3.8,82.30235250147729,3.589481214348581,high,0,0.0,0.0,0.0,0.0,0.0,0.0,low,1.29,-0.18,1.347,78.49489474347662,-0.18,1.39355,False,,False,,False,ok,,False,False,False,False,False,WindTolerance,MajorGrind,WindTolerance + OTT_Accuracy; weak MajorGrind
24,Ben,Griffin,"GRIFFIN, BEN",15.0,PGA Tour,deep,high,1.45,0.79,0.31,0.39,0.56,29,104,1.0,0.03,0.7,0.1,1.45,78.34158415841584,76.08419984783161,74.6670328161472,75.18142235123368,44.33249370277078,46.141348497156784,50.00000000000002,42.89405684754522,43.23915237134208,91.53225806451613,86.13037447988904,79.16666666666666,79.70588235294119,66.96969696969698,76.76470588235291,69.52286843591192,37.50000000000001,0.07,0.0,0.01,0.06,0.66,1.3,5.0,7.9,3.7,3.7,7.9,3.7,76.15746532680596,-2.1841188316098794,high,0,0.0,0.0,0.0,0.0,0.0,0.0,low,1.36,-0.08,1.387,78.9991176099836,-0.08,1.4090500000000001,False,,False,,False,ok,,False,False,False,False,False,ARG_TightRunoff,MajorGrind,ARG_TightRunoff + ARG_Bunker; weak MajorGrind
25,Kurt,Kitayama,"KITAYAMA, KURT",31.0,PGA Tour,deep,high,1.29,1.31,0.85,-0.12,0.09,23,89,1.0,0.04,11.5,-0.3,1.29,76.36138613861387,85.41719502916561,81.64218042015654,82.72859216255442,57.93450881612091,64.17546709991876,52.03619909502262,56.84754521963825,56.659939455095866,70.96774193548386,62.13592233009708,53.75000000000001,65.88235294117646,64.84848484848486,65.88235294117645,79.51722190852625,40.249140893470795,0.01,-0.03,0.03,0.01,0.68,1.3,5.3,8.0,3.4,3.4,8.0,3.4,76.71996361069569,0.35857747208181934,high,0,0.0,0.0,0.0,0.0,0.0,0.0,low,1.93,0.64,1.738,83.42367326358251,0.64,1.5812,False,,False,,False,ok,,False,False,False,True,False,OTT_Distance,MajorGrind,OTT_Distance + OTT_Accuracy; weak MajorGrind
26,Shane,Lowry,"LOWRY, SHANE",44.0,PGA Tour,deep,high,1.04,0.9,0.82,-0.09,0.14,27,98,0.0,0.0,-0.6,1.5,1.04,73.26732673267327,77.14937864570125,76.75408485514211,76.77793904209,57.17884130982368,56.94557270511778,64.93212669683255,56.07235142118863,56.81130171543896,72.1774193548387,60.610263522884885,55.000000000000014,67.3529411764706,63.333333333333364,67.35294117647057,76.43986448334275,25.429553264604817,0.07,0.03,0.03,0.01,0.675,1.3,4.9,7.9,3.8,3.8,7.9,3.8,75.51561339717888,2.2482866645056134,high,0,0.0,0.0,0.0,0.0,0.0,0.0,low,1.25,0.21,1.187,76.47800327744864,0.21,1.13555,False,,False,,False,ok,,False,False,False,True,False,OTT_Distance,MajorGrind,OTT_Distance + OTT_Accuracy; weak MajorGrind
27,Ryan,Gerard,"GERARD, RYAN",23.0,PGA Tour,deep,high,0.88,0.8,0.7,-0.11,-0.16,33,120,1.0,0.03,-0.4,3.9,0.88,71.28712871287128,75.93203144813594,76.36962790059042,75.3265602322206,54.15617128463476,54.02112103980505,62.217194570135725,52.97157622739017,54.9949545913219,71.37096774193547,59.77808599167823,54.166666666666686,58.529411764705884,57.27272727272727,58.529411764705856,75.62111801242236,35.05154639175258,0.07,0.03,0.03,0.02,0.68,1.3,4.9,8.0,3.8,3.8,8.0,3.8,73.4902749278444,2.203146214973117,high,0,0.0,0.0,0.0,0.0,0.0,0.0,low,1.39,0.51,1.2369999999999999,77.10828186058238,0.51,1.11205,False,,False,,False,ok,,False,False,False,True,False,OTT_Accuracy,MajorGrind,OTT_Accuracy + OTT_Distance; weak MajorGrind
28,Alex,Noren,"NOREN, ALEX",20.0,PGA Tour,deep,high,1.32,0.67,0.4,0.19,0.77,27,95,2.0,0.07,-7.9,4.9,1.32,76.73267326732673,72.38143545523714,74.99656734862008,73.43976777939042,46.59949622166247,43.46060113728677,65.61085972850677,45.219638242894064,47.9313824419778,83.46774193548386,75.03467406380027,70.83333333333333,85.88235294117646,79.3939393939394,85.88235294117645,72.10615471485036,50.68728522336771,0.12,0.06,0.01,0.04,0.67,1.3,4.7,7.9,4.1,4.1,7.9,4.1,79.32280544445427,2.5901321771275434,high,0,0.0,0.0,0.0,0.0,0.0,0.0,low,1.45,0.13,1.411,79.30165132988782,0.13,1.37915,False,,False,,False,ok,,False,False,False,False,False,PUTT_LagCtrl,APP_150-200,PUTT_LagCtrl + ARG_TightRunoff; weak APP_150-200
29,Robert,MacIntyre,"MACINTYRE, ROBERT",17.0,PGA Tour,deep,high,1.51,0.71,-0.05,0.23,0.69,27,100,1.0,0.04,2.2,1.1,1.51,79.08415841584157,75.45016484909966,73.98050254016204,74.02031930333817,35.26448362720403,37.36799350121853,41.85520361990952,33.59173126614987,34.66195761856711,85.08064516129032,82.24687933425797,72.5,83.52941176470588,76.96969696969698,83.52941176470587,65.6549971767363,41.19415807560138,0.06,0.01,0.01,0.04,0.67,1.3,5.0,8.0,3.7,3.7,8.0,3.7,72.95472774177117,-6.129430674070406,high,0,0.0,0.0,0.0,0.0,0.0,0.0,low,0.39,-1.12,0.726,70.6668347409555,-1.12,1.0004,True,Last20 vs baseline = -1.12 SG (threshold -1.0),False,,False,ok,,False,False,False,False,False,ARG_TightRunoff,APP_FlightCtrl,ARG_TightRunoff + PUTT_LagCtrl; weak APP_FlightCtrl
