player_name,2021 (Wyndham Championship),2022 (Wyndham Championship),2023 (Wyndham Championship),2024 (Wyndham Championship),2025 (Wyndham Championship),rounds_played,historical_true_sg,versus_expected,ch_adjustment,experience_adjustment
"Suber, Jackson",null,null,null,null,CUT,2,-2.722,-2.369,-0.017,-0.026
"Theegala, Sahith",null,null,null,null,CUT,2,-4.222,-3.967,-0.029,-0.026
"Tosti, Alejandro",null,null,null,CUT,null,2,-2.818,-1.905,-0.014,-0.026
"Dumont De Chassart, Adrien",null,null,null,CUT,null,2,-0.818,0.157,0.001,-0.026
"Springer, Hayden",null,null,null,CUT,null,2,0.182,0.668,0.005,-0.026
"Kanaya, Takumi",null,null,null,null,CUT,2,-0.222,-0.785,-0.006,-0.026
"Walker, Danny",null,null,null,null,CUT,2,-1.722,-0.981,-0.007,-0.026
"James, Ben",null,null,null,null,null,0,null,null,null,-0.044
"Bauchou, Zach",null,null,null,null,null,0,null,null,null,-0.044
"Blanchet, Chandler",null,null,null,null,null,0,null,null,null,-0.044
"Shipley, Neal",null,null,null,null,null,0,null,null,null,-0.044
"Keefer, Johnny",null,null,null,null,null,0,null,null,null,-0.044
"Ewart, A.J.",null,null,null,null,null,0,null,null,null,-0.044
"Brown, Blades",null,null,null,null,null,0,null,null,null,-0.044
"Stanger, Jimmy",null,null,null,null,null,0,null,null,null,-0.044
"Saddier, Adrien",null,null,null,null,null,0,null,null,null,-0.044
"Rodriguez, Lorenzo",null,null,null,null,null,0,null,null,null,-0.044
"Kang, Jeffrey",null,null,null,null,null,0,null,null,null,-0.044
"Akina, Kihei",null,null,null,null,null,0,null,null,null,-0.044
"Hirata, Kensei",null,null,null,null,null,0,null,null,null,-0.044
"Lamprecht, Christo",null,null,null,null,null,0,null,null,null,-0.044
"Fitzpatrick, Alex",null,null,null,null,null,0,null,null,null,-0.044
"Collet, Tyler",null,null,null,null,null,0,null,null,null,-0.044
"Nyholm, Pontus",null,null,null,null,null,0,null,null,null,-0.044
"Parry, John",null,null,null,null,null,0,null,null,null,-0.044
"Huskey, Keenan",null,null,null,null,null,0,null,null,null,-0.044
"VanDerLaan, John",null,null,null,null,null,0,null,null,null,-0.044
"Neergaard-Petersen, Rasmus",null,null,null,null,null,0,null,null,null,-0.044
"Rozo, Marcelo",null,null,null,null,null,0,null,null,null,-0.044
"Chatfield, Davis",null,null,null,null,null,0,null,null,null,-0.044
"Penge, Marco",null,null,null,null,null,0,null,null,null,-0.044
"Mazzoli, Stefano",null,null,null,null,null,0,null,null,null,-0.044
"Potgieter, Aldrich",null,null,null,null,null,0,null,null,null,-0.044
"Brennan, Michael",null,null,null,null,null,0,null,null,null,-0.044
"Smith, Jordan",null,null,null,null,null,0,null,null,null,-0.044
"Hrabak, Cooper",null,null,null,null,null,0,null,null,null,-0.044
