Last Name,First Name,Fairway shots- 50-100yrd,Fairway shots- 50-100yrd value,Fairway shots- 100-150yrd,Fairway shots- 100-150yrd Value,Fairway shots- 150-200yrd,Fairway shots- 150-200yrd value,Fairway shots- Over 200yrd,Fairway shots- Over 200yrd value,Rough shots- Under 150yrd,Rough shots- Under 150yrd value,Rough shots- Over 150yrd,Rough shots- Over 150yrd value
SPRINGER,HAYDEN,42,0.113,121,-0.034,151,-0.061,66,0.021,73,-0.034,59,0.053
JOHNSON,DUSTIN,80,0.035,263,-0.034,311,0.005,165,0.02,120,0.008,133,-0.013
HOWELL III,CHARLES,67,0.016,211,-0.034,223,-0.032,121,-0.016,106,-0.02,59,0.057
ROY,KEVIN,100,0.018,297,-0.034,363,-0.059,162,0.011,114,-0.018,107,-0.022
WILLETT,DANNY,30,0.14,86,-0.034,120,-0.091,76,-0.034,37,0.029,60,-0.064
TOSTI,ALEJANDRO,32,0.09,127,-0.034,161,-0.147,80,-0.065,59,0.097,87,-0.041
HUGHES,MACKENZIE,69,-0.009,253,-0.034,340,-0.017,151,-0.039,134,-0.032,130,-0.016
KJETTRUP,FREDERIK,20,-0.04,57,-0.035,65,-0.061,NULL,NULL,20,0.069,23,0.091
STANGER,JIMMY,37,-0.047,117,-0.036,171,-0.14,70,-0.129,70,0.074,60,-0.008
SADDIER,ADRIEN,43,0.018,147,-0.037,227,-0.017,93,-0.033,69,-0.011,74,0.004
CASTILLO,RICKY,88,-0.071,241,-0.037,368,-0.031,157,-0.036,146,0.067,133,0.022
MONTGOMERY,TAYLOR,38,0.044,81,-0.038,115,-0.047,60,-0.031,64,0.074,55,0.003
WHALEY,VINCE,80,0.1,215,-0.038,319,-0.044,149,-0.058,160,0.061,142,-0.059
ENDYCOTT,HARRISON,19,-0.101,53,-0.038,72,-0.027,NULL,NULL,22,-0.066,21,0.13
WALKER,DANNY,82,-0.017,177,-0.038,292,-0.02,125,-0.072,144,0.072,135,-0.023
MICKELSON,PHIL,23,0.009,68,-0.038,93,-0.086,52,0.051,43,-0.001,35,0.037
HARDY,NICK,32,-0.014,99,-0.038,147,0.021,63,-0.087,67,0.03,45,-0.013
CAMPBELL,BRIAN,97,-0.027,214,-0.039,408,-0.023,208,0.004,86,-0.037,135,-0.062
LEE,RICHARD,46,-0.006,173,-0.04,168,0.017,83,-0.024,65,0.027,51,-0.102
BALLESTER,JOSE LUIS,62,-0.01,195,-0.041,194,-0.024,126,0.071,119,0.007,71,-0.074
GRACE,BRANDEN,58,-0.003,212,-0.041,246,0.018,108,0.008,87,0.038,79,0.114
CAMPBELL,BEN,70,-0.013,211,-0.041,263,-0.056,136,-0.071,69,0.023,65,-0.002
PALMER,RYAN,18,-0.003,88,-0.041,103,-0.206,33,-0.078,45,0.067,29,-0.066
MASAVEU,LUIS,57,-0.033,173,-0.041,172,-0.042,95,-0.013,78,-0.072,73,0.023
PENGE,MARCO,49,-0.02,120,-0.042,193,-0.048,92,0.048,103,0.037,79,-0.012
STENSON,HENRIK,24,0.056,85,-0.042,88,0.053,45,-0.005,16,-0.11,20,0.158
HORSFIELD,SAM,39,-0.087,210,-0.046,231,-0.1,121,-0.049,111,-0.076,86,-0.059
LAMPRECHT,CHRISTO,44,-0.123,96,-0.047,131,-0.149,61,-0.13,80,-0.031,70,-0.023
PAUL,JEREMY,44,-0.008,106,-0.048,135,-0.125,61,0.015,66,0.084,59,-0.117
PEREIRA,MITO,20,-0.027,50,-0.049,53,-0.11,28,-0.01,33,-0.075,21,0.007
PUIG,DAVID,72,0.001,209,-0.05,230,-0.035,135,-0.001,141,0.009,86,-0.007
VELO,KEVIN,28,0.066,61,-0.051,90,0.007,40,0.056,44,-0.023,25,-0.166
HAHN,JAMES,20,-0.007,63,-0.053,68,-0.011,39,-0.118,36,0.017,28,-0.079
ALBERTSON,ANDERS,NULL,NULL,42,-0.054,57,-0.028,NULL,NULL,29,-0.138,NULL,NULL
MARTIN,BEN,38,0.037,97,-0.054,126,-0.069,67,0.02,49,0.017,44,-0.094
KIM,S.H.,33,-0.097,112,-0.055,176,-0.028,74,-0.054,49,0.032,67,-0.021
DEL SOLAR,CRISTOBAL,13,-0.218,57,-0.055,80,-0.056,41,0.129,56,0.047,36,-0.025
MOORE,TAYLOR,82,0.037,219,-0.056,291,-0.047,148,0.032,139,-0.02,124,-0.018
SHIPLEY,NEAL,49,0.073,142,-0.056,221,-0.007,90,0.029,63,-0.063,44,-0.14
CAMPOS,RAFAEL,45,-0.091,178,-0.056,198,0.003,109,-0.026,83,0.019,94,0.087
GRIFFIN,LANTO,47,-0.016,160,-0.057,241,-0.018,119,0.011,84,0.09,79,0.021
HOEY,RICO,111,-0.017,304,-0.058,424,0.027,202,0.098,173,0.04,143,0.056
CHAMP,CAMERON,19,-0.086,78,-0.058,108,0.017,50,-0.025,47,-0.098,21,0.048
KANG,JEFFREY,43,0.03,88,-0.06,170,0.008,68,-0.106,61,0.082,77,0.027
NEERGAARD-PETERSEN,RASMUS,44,-0.157,126,-0.06,235,0.024,102,0.052,72,-0.052,67,-0.024
KISNER,KEVIN,13,-0.048,55,-0.061,68,-0.052,47,0.056,25,-0.04,21,-0.111
SMYTH,TRAV,21,-0.108,57,-0.061,56,0.078,28,0.031,46,0.02,35,-0.04
CONE,TREVOR,39,-0.099,88,-0.062,115,-0.01,62,0.061,56,0.064,32,-0.021
JAMES,BEN,15,-0.028,55,-0.064,77,0.024,30,0.079,13,-0.156,NULL,NULL
HERBERT,LUCAS,65,0.01,189,-0.066,235,0.038,127,0.074,141,-0.024,75,0.06
SURRATT,CALEB,63,-0.091,222,-0.066,245,-0.047,133,0.038,117,-0.01,83,-0.035
BREHM,RYAN,25,-0.117,43,-0.069,55,-0.104,28,0.07,30,0.048,25,-0.04
VINCENT,SCOTT,30,-0.067,143,-0.07,190,0,92,0.04,73,0.001,55,0.008
WOLFF,MATTHEW,58,-0.034,163,-0.07,211,-0.072,104,0.003,95,0.008,89,-0.003
CHANDLER,WILL,28,0.005,89,-0.074,86,-0.009,45,-0.151,38,-0.052,32,-0.056
HADLEY,CHESSON,17,0.027,49,-0.075,71,0.049,NULL,NULL,16,-0.159,NULL,NULL
IM,SUNGJAE,72,0.063,266,-0.075,432,-0.068,238,0.006,124,-0.022,134,-0.022
SARGENT,GORDON,64,0.029,133,-0.078,187,-0.126,95,-0.109,111,-0.052,58,-0.113
LAIRD,MARTIN,31,-0.009,77,-0.089,94,-0.076,49,0.006,40,0.091,27,-0.016
HOWELL,MASON,18,-0.23,50,-0.091,75,-0.027,33,0.052,23,-0.006,20,-0.118
RIEDEL,MATTHEW,21,-0.065,82,-0.091,91,-0.016,43,0.032,38,-0.021,NULL,NULL
OGLETREE,ANDY,23,-0.077,61,-0.099,54,0.046,NULL,NULL,23,-0.043,NULL,NULL
TABUENA,MIGUEL,23,-0.023,139,-0.115,197,-0.114,89,-0.01,68,0.017,80,0.01
VALDES,BRENDAN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,-0.108,NULL,NULL
WATTS,TYLER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,0.16,NULL,NULL
FANG,ETHAN,13,-0.126,NULL,NULL,NULL,NULL,NULL,NULL,16,0.029,NULL,NULL
MEEKS,KYE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,0.005,NULL,NULL
HASTINGS,JUSTIN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17,0.089,NULL,NULL
BYRD,MARCUS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16,0.01,NULL,NULL
PETRONZIO,NATHAN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,-0.167,NULL,NULL
KANEKO,KOTA,11,-0.052,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
RUSSELL,MILES,11,0.068,NULL,NULL,NULL,NULL,NULL,NULL,20,0.112,NULL,NULL
MATTHEWS,JUSTIN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14,-0.054,NULL,NULL
AYORA,ANGEL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,0.008,NULL,NULL
GONZALEZ,EMILIO,12,0.111,NULL,NULL,54,-0.088,NULL,NULL,17,0.003,28,-0.121
COUVRA,MARTIN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,0.028,NULL,NULL
COUPLES,FRED,11,-0.301,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NICHOLAS,JAMES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,0.011,NULL,NULL
SODERBERG,SEBASTIAN,NULL,NULL,NULL,NULL,54,0.033,NULL,NULL,NULL,NULL,NULL,NULL
ARMITAGE,MARCUS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,0.102,NULL,NULL
MUN,DOYEOB,16,0.124,NULL,NULL,NULL,NULL,NULL,NULL,23,-0.082,NULL,NULL
YUAN,CARL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14,0.054,NULL,NULL
DAFFUE,MJ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,-0.034,NULL,NULL
LANGASQUE,ROMAIN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13,0.037,NULL,NULL
KNOUS,JIM,13,-0.059,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
LEE,S.T.,NULL,NULL,NULL,NULL,48,-0.1,NULL,NULL,15,0.11,21,-0.151
HIGA,KAZUKI,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,-0.023
STREB,ROBERT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13,-0.092,NULL,NULL
LEE,K.H.,16,0.043,NULL,NULL,NULL,NULL,NULL,NULL,11,0.035,20,-0.022
HERMAN,JIM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,-0.005,NULL,NULL
GAINEY,TOMMY,14,0.064,NULL,NULL,NULL,NULL,NULL,NULL,19,-0.188,NULL,NULL
MANASSERO,MATTEO,NULL,NULL,NULL,NULL,61,-0.027,NULL,NULL,17,0.083,21,-0.115
NOH,S.Y.,13,-0.047,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BURGOON,BRONSON,15,-0.011,NULL,NULL,49,0.02,NULL,NULL,32,-0.047,NULL,NULL
WATNEY,NICK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,-0.11,NULL,NULL
VERMEER,RYAN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13,0.037,NULL,NULL
WALKER,JIMMY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,-0.037,NULL,NULL
MCNEILL,GEORGE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,-0.004,NULL,NULL
BADDELEY,AARON,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,-0.012,23,-0.091
DONALD,LUKE,14,-0.039,NULL,NULL,NULL,NULL,NULL,NULL,13,0.224,19,-0.095
SHINKWIN,CALLUM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,-0.256,NULL,NULL
CATLIN,JOHN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19,0.058,NULL,NULL
HRUBY,PETR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,-0.102,NULL,NULL
SCHNIEDERJANS,OLLIE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,-0.126,NULL,NULL
FEAGLES,MICHAEL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,0.097,NULL,NULL
ANDERSON,MATTHEW,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,0.048,NULL,NULL
ELVIRA,MANUEL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,-0.045,NULL,NULL
PURCELL,CONOR,11,-0.084,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
OLESEN,JACOB SKOV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14,0.073,NULL,NULL
JORDAN,MATTHEW,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17,0.093,NULL,NULL
STALLINGS JR.,STEPHEN,11,0.068,NULL,NULL,NULL,NULL,NULL,NULL,14,-0.02,NULL,NULL
KNOWLES,PHILIP,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14,0.061,NULL,NULL
XIONG,NORMAN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13,0.052,NULL,NULL
HIDALGO PORTILLO,ANGEL,NULL,NULL,NULL,NULL,NULL,NULL,28,-0.061,12,-0.001,NULL,NULL
ANDERSEN,MASON,17,-0.099,NULL,NULL,55,-0.018,NULL,NULL,30,-0.152,20,0.04
DEL REY,ALEJANDRO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,0.085,NULL,NULL
BROWN,HAMISH,13,0.059,NULL,NULL,NULL,NULL,NULL,NULL,12,0.095,NULL,NULL
HILLIER,DANIEL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17,0.142,NULL,NULL
COUSSAUD,UGO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,0.152,19,0.147
TARREN,CALLUM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16,0.189,NULL,NULL
LINDBERG,MIKAEL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19,-0.077,NULL,NULL
ROTTLUFF,MAX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,0.058,NULL,NULL
CANTERO GUTIERREZ,IVAN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,-0.034,NULL,NULL
NAIDOO,DYLAN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,-0.142,NULL,NULL
ZALATORIS,WILL,NULL,NULL,NULL,NULL,52,0.006,NULL,NULL,15,0.107,20,0.085
HERRINGTON,JACKSON,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16,-0.01,NULL,NULL
