name_key,player_display,trait_app_150_200,trait_driving_accuracy,trait_ott_positional,trait_app_overall,trait_sg_putt,trait_sg_arg
"neergaard-petersen, rasmus","Neergaard-Petersen, Rasmus",46.0,47.5,49.0,50.5,52.0,53.5
"perez, victor","Perez, Victor",45.6,47.1,48.6,50.1,51.6,53.1
"coody, pierceson","Coody, Pierceson",45.1,46.6,48.1,49.6,51.1,52.6
"detry, thomas","Detry, Thomas",44.7,46.2,47.7,49.2,50.7,52.2
"hojgaard, rasmus","Hojgaard, Rasmus",44.2,45.8,47.2,48.8,50.2,51.8
"stevens, sam","Stevens, Sam",43.8,45.3,46.8,48.3,49.8,51.3
"mckibbin, tom","McKibbin, Tom",43.4,44.9,46.4,47.9,49.4,50.9
"kim, michael","Kim, Michael",42.9,44.4,45.9,47.4,48.9,50.4
"valimaki, sami","Valimaki, Sami",42.4,43.9,45.4,46.9,48.4,49.9
"koepka, brooks","Koepka, Brooks",42.0,43.5,45.0,46.5,48.0,49.5
"fox, ryan","Fox, Ryan",41.5,43.0,44.5,46.0,47.5,49.0
"brennan, michael","Brennan, Michael",41.1,42.6,44.1,45.6,47.1,48.6
"chacarra, eugenio","Chacarra, Eugenio",40.6,42.1,43.6,45.1,46.6,48.1
"molinari, francesco","Molinari, Francesco",40.2,41.7,43.2,44.7,46.2,47.7
"novak, andrew","Novak, Andrew",39.8,41.2,42.8,44.2,45.8,47.2
"hisatsune, ryo","Hisatsune, Ryo",39.3,40.8,42.3,43.8,45.3,46.8
"du plessis, hennie","Du Plessis, Hennie",38.9,40.4,41.9,43.4,44.9,46.4
"herbert, lucas","Herbert, Lucas",38.4,39.9,41.4,42.9,44.4,45.9
"penge, marco","Penge, Marco",37.9,39.4,40.9,42.4,43.9,45.4
"nakajima, keita","Nakajima, Keita",37.5,39.0,40.5,42.0,43.5,45.0
"vincent, scott","Vincent, Scott",37.0,38.5,40.0,41.5,43.0,44.5
"li, haotong","Li, Haotong",36.6,38.1,39.6,41.1,42.6,44.1
"stenson, henrik","Stenson, Henrik",36.1,37.6,39.1,40.6,42.1,43.6
"yonezawa, ren","Yonezawa, Ren",35.7,37.2,38.7,40.2,41.7,43.2
"cink, stewart","Cink, Stewart",35.2,36.8,38.2,39.8,41.2,42.8
"jarvis, casey","Jarvis, Casey",34.8,36.3,37.8,39.3,40.8,42.3
"brown, dan","Brown, Dan",34.4,35.9,37.4,38.9,40.4,41.9
"bradbury, dan","Bradbury, Dan",33.9,35.4,36.9,38.4,39.9,41.4
"im, sungjae","Im, Sungjae",33.4,34.9,36.4,37.9,39.4,40.9
"greyserman, max","Greyserman, Max",33.0,34.5,36.0,37.5,39.0,40.5
"sullivan, andy","Sullivan, Andy",32.5,34.0,35.5,37.0,38.5,40.0
"luis ballester, jose","Luis Ballester, Jose",32.1,33.6,35.1,36.6,38.1,39.6
"rozner, antoine","Rozner, Antoine",31.6,33.1,34.6,36.1,37.6,39.1
"suber, jackson","Suber, Jackson",31.2,32.7,34.2,35.7,37.2,38.7
"horschel, billy","Horschel, Billy",30.8,32.2,33.8,35.2,36.8,38.2
"potgieter, aldrich","Potgieter, Aldrich",30.3,31.8,33.3,34.8,36.3,37.8
"laporta, francesco","Laporta, Francesco",29.9,31.4,32.9,34.4,35.9,37.4
"canter, laurie","Canter, Laurie",29.4,30.9,32.4,33.9,35.4,36.9
"svensson, jesper","Svensson, Jesper",28.9,30.4,31.9,33.4,34.9,36.4
"docherty, alistair","Docherty, Alistair",28.5,30.0,31.5,33.0,34.5,36.0
"smith, cameron","Smith, Cameron",28.0,29.5,31.0,32.5,34.0,35.5
"wiesberger, bernd","Wiesberger, Bernd",27.6,29.1,30.6,32.1,33.6,35.1
"kaneko, kota","Kaneko, Kota",27.1,28.6,30.1,31.6,33.1,34.6
"truslow, austen","Truslow, Austen",26.7,28.2,29.7,31.2,32.7,34.2
"kobori, kazuma","Kobori, Kazuma",26.2,27.8,29.2,30.8,32.2,33.8
"norris, shaun","Norris, Shaun",25.8,27.3,28.8,30.3,31.8,33.3
"saddier, adrien","Saddier, Adrien",25.4,26.9,28.4,29.9,31.4,32.9
"nagano, ryutaro","Nagano, Ryutaro",24.9,26.4,27.9,29.4,30.9,32.4
"smyth, trav","Smyth, Trav",24.4,25.9,27.4,28.9,30.4,31.9
"wiedemeyer, tim","Wiedemeyer, Tim",24.0,25.5,27.0,28.5,30.0,31.5
"jordan, matthew","Jordan, Matthew",23.5,25.0,26.5,28.0,29.5,31.0
"dean, joe","Dean, Joe",23.1,24.6,26.1,27.6,29.1,30.6
"higa, kazuki","Higa, Kazuki",22.6,24.1,25.6,27.1,28.6,30.1
"lagergren, joakim","Lagergren, Joakim",22.2,23.7,25.2,26.7,28.2,29.7
"couvra, martin","Couvra, Martin",21.8,23.2,24.8,26.2,27.8,29.2
"john, cameron","John, Cameron",21.3,22.8,24.3,25.8,27.3,28.8
"surratt, caleb","Surratt, Caleb",20.9,22.4,23.9,25.4,26.9,28.4
"lacroix, frederic","LaCroix, Frederic",20.4,21.9,23.4,24.9,26.4,27.9
"hollick, michael","Hollick, Michael",20.0,21.4,22.9,24.4,25.9,27.4
"grehan, stuart","Grehan, Stuart",20.0,21.0,22.5,24.0,25.5,27.0
"daffue, mj","Daffue, MJ",20.0,20.5,22.0,23.5,25.0,26.5
"harrington, padraig","Harrington, Padraig",20.0,20.1,21.6,23.1,24.6,26.1
"de castro piera, alejandro","De Castro Piera, Alejandro",20.0,20.0,21.1,22.6,24.1,25.6
"clarke, darren","Clarke, Darren",20.0,20.0,20.7,22.2,23.7,25.2
"skogen, baard","Skogen, Baard",20.0,20.0,20.2,21.8,23.2,24.8
"yang, jiho","Yang, Jiho",20.0,20.0,20.0,21.3,22.8,24.3
"nicholas, james","Nicholas, James",20.0,20.0,20.0,20.9,22.4,23.9
"mcdonald, jack","McDonald, Jack",20.0,20.0,20.0,20.4,21.9,23.4
"plunkett, marcus","Plunkett, Marcus",20.0,20.0,20.0,20.0,21.4,22.9
"woo ham, jeong","Woo Ham, Jeong",20.0,20.0,20.0,20.0,21.0,22.5
"buchanan, jack","Buchanan, Jack",20.0,20.0,20.0,20.0,20.5,22.0
"uihlein, peter","Uihlein, Peter",20.0,20.0,20.0,20.0,20.1,21.6
"bairstow, sam","Bairstow, Sam",20.0,20.0,20.0,20.0,20.0,21.1
"howard, david","Howard, David",20.0,20.0,20.0,20.0,20.0,20.7
"baldwin, matthew","Baldwin, Matthew",20.0,20.0,20.0,20.0,20.0,20.2
"christensen, tiger","Christensen, Tiger",20.0,20.0,20.0,20.0,20.0,20.0
"southgate, matthew","Southgate, Matthew",20.0,20.0,20.0,20.0,20.0,20.0
"ruiter, nevill","Ruiter, Nevill",20.0,20.0,20.0,20.0,20.0,20.0
"grinberg, lev","Grinberg, Lev",20.0,20.0,20.0,20.0,20.0,20.0
"duval, david","Duval, David",20.0,20.0,20.0,20.0,20.0,20.0
"kataoka, naoyuki","Kataoka, Naoyuki",20.0,20.0,20.0,20.0,20.0,20.0
"laopakdee, fifa","Laopakdee, Fifa",20.0,20.0,20.0,20.0,20.0,20.0
"howell, mason","Howell, Mason",20.0,20.0,20.0,20.0,20.0,20.0
"pulcini, mateo","Pulcini, Mateo",20.0,20.0,20.0,20.0,20.0,20.0
"sloman, tom","Sloman, Tom",20.0,20.0,20.0,20.0,20.0,20.0
