POS,Player,TOTAL,Rd1,Rd2,Rd3,Rd4,Total Strokes
CUT,Austin Cook,-2,71,69,-,-,140
CUT,Takumi Kanaya,-2,70,70,-,-,140
CUT,Adam Svensson,-2,70,70,-,-,140
CUT,Max Greyserman,-2,71,69,-,-,140
CUT,Sudarshan Yellamaraju,-2,70,70,-,-,140
CUT,Michael Thorbjornsen,-2,68,72,-,-,140
CUT,Jimmy Stanger,-2,72,68,-,-,140
CUT,Daniel Berger,-2,68,72,-,-,140
CUT,Webb Simpson,-2,70,70,-,-,140
CUT,Rico Hoey,-2,68,72,-,-,140
CUT,Nick Hardy,-2,74,66,-,-,140
CUT,Kevin Streelman,-2,70,70,-,-,140
CUT,Johnny Keefer,-2,71,69,-,-,140
CUT,Neal Shipley,-2,72,68,-,-,140
CUT,Jeffrey Kang,-2,71,69,-,-,140
CUT,Dylan Wu,-1,72,69,-,-,141
CUT,Brice Garnett,-1,72,69,-,-,141
CUT,Hank Lebioda,-1,71,70,-,-,141
CUT,Taylor Moore,-1,70,71,-,-,141
CUT,Joe Highsmith,-1,74,67,-,-,141
CUT,Kensei Hirata,-1,68,73,-,-,141
CUT,Dylan Frittelli,-1,70,71,-,-,141
CUT,Paul Peterson,-1,72,69,-,-,141
CUT,Luke Clanton,-1,69,72,-,-,141
CUT,Patrick Adler,-1,70,71,-,-,141
CUT,Brendon Todd,-1,70,71,-,-,141
CUT,Haotong Li,-1,67,74,-,-,141
CUT,Denny McCarthy,E,71,71,-,-,142
CUT,Michael Kim,E,72,70,-,-,142
CUT,Carson Young,E,73,69,-,-,142
CUT,Aldrich Potgieter,E,74,68,-,-,142
CUT,Garrick Higgo,E,71,71,-,-,142
CUT,Ben Martin,E,72,70,-,-,142
CUT,Justin Lower,E,72,70,-,-,142
CUT,Martin Laird,E,72,70,-,-,142
CUT,Matthieu Pavon,E,72,70,-,-,142
CUT,Robert Streb,E,71,71,-,-,142
CUT,Brian Campbell,E,70,72,-,-,142
CUT,Kevin Roy,E,69,73,-,-,142
CUT,Vince Whaley,E,75,67,-,-,142
CUT,Marcelo Rozo,E,72,70,-,-,142
CUT,Patton Kizzire,1,71,72,-,-,143
CUT,Andrew Novak,1,72,71,-,-,143
CUT,Noah Goodwin,1,68,75,-,-,143
CUT,Taylor Pendrith,1,68,75,-,-,143
CUT,Jackson Koivun,1,73,70,-,-,143
CUT,Kris Ventura,1,69,74,-,-,143
CUT,Ben Silverman,2,73,71,-,-,144
CUT,Adam Schenk,2,71,73,-,-,144
CUT,Adam Hadwin,2,73,71,-,-,144
CUT,John VanDerLaan,2,74,70,-,-,144
CUT,Cameron Champ,2,72,72,-,-,144
CUT,Alejandro Tosti,2,74,70,-,-,144
CUT,Augusto Núñez,2,73,71,-,-,144
CUT,Luke List,2,74,70,-,-,144
CUT,Chad Ramey,4,73,73,-,-,146
CUT,Thorbjørn Olesen,4,75,71,-,-,146
CUT,S.Y. Noh,4,74,72,-,-,146
CUT,Mason Howell,(a),-,72,75,-,-
CUT,Chandler Blanchet,5,70,77,-,-,147
CUT,Jeremy Paul,7,72,77,-,-,149
CUT,Christo Lamprecht,7,77,72,-,-,149
CUT,Danny Walker,11,81,72,-,-,153
CUT,Darin Fisher,14,78,78,-,-,156
WD,Seamus Power,-,77,-,-,-,77
